protein,patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_patch,patch_tot_TP
1A14,0.48,0.43,32,31,12
3I50,0.3721,0.36,34,32,8
1MLC,0.2778,0.37,24,22,5
2DD8,0.0,0.03,46,43,0
5C7X,0.3721,0.34,24,20,8
4OII,0.1364,0.13,26,23,3
4PP1,0.0,0,28,26,0
5KJR,0.1818,0.33,32,38,5
4U0R,0.0,0.09,32,31,0
5F3H,0.0,0,33,29,0
3SE9,0.0,0.2,32,31,0
3LD8,0.05,0,32,27,1
4ETQ,0.2174,0.28,28,24,5
2YPV,0.0435,0.12,31,27,1
3U9P,0.0,0.37,26,21,0
5MES,0.1765,0.43,25,22,3
4DGI,0.4828,0.29,24,18,7
3KS0,0.0,0,36,23,0
3L5X,0.4118,0.35,24,24,7
1ORS,0.0,0.05,27,24,0
1TPX,0.1,0.09,27,22,2
5F9O,0.0,0.22,32,31,0
5I9Q,0.0727,0.3,32,33,2
4BZ1,0.1765,0.29,23,22,3
4OGX,0.1404,0.17,29,28,4
5D93,0.0,0,36,35,0
3NFP,0.0,0.04,30,29,0
1AHW,0.2174,0.25,29,27,5
