protein,patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_patch,patch_tot_TP
4JR9,0.0,0,33,25,0
1QFU,0.0,0,36,15,0
4ZSO,0.0,0.17,29,31,0
4XWG,0.0,0,33,27,0
4GMS,0.0,0,36,18,0
1FSK,0.6667,0.65,27,20,12
3LEV,0.5806,0.39,27,22,9
5D8J,0.5217,0.36,26,28,12
4G6J,0.0,0.26,26,26,0
1WEJ,0.0,0.06,24,27,0
2ADF,0.0426,0.34,26,32,1
3T2N,0.1481,0.12,32,34,4
2UZI,0.5405,0.73,26,19,10
3PNW,0.0,0.27,22,9,0
4K2U,0.0,0.04,38,33,0
2EIZ,0.0,0,24,27,0
5SY8,0.439,0.43,25,29,9
4FP8,0.0,0,36,17,0
5B3J,0.2439,0.22,32,27,5
1BQL,0.0,0,24,29,0
5UGY,0.2807,0.23,28,33,8
1EO8,0.0,0,36,15,0
5KVE,0.069,0.1,25,13,1
5DUR,0.1176,0.14,28,18,2
1RJL,0.5806,0.36,26,18,9
4U6V,0.0,0,31,17,0
5LQB,0.4762,0.32,24,29,10
4F15,0.0,0,36,23,0
4OT1,0.0488,0.22,24,28,1
1A2Y,0.2727,0.26,24,29,6
4HF5,0.0,0,36,17,0
4G6M,0.0,0,26,27,0
4CNI,0.4848,0.35,26,19,8
5CBA,0.0,0.11,22,21,0
2J88,0.8276,0.29,31,19,12
5TZ2,0.0,0.05,24,10,0
1ZTX,0.0,0.15,24,30,0
2VXQ,0.1364,0.11,23,29,3
1FE8,0.0,0.13,26,34,0
5F3B,0.0,0,33,10,0
4KI5,0.0,0.03,46,31,0
1FBI,0.0,0.1,24,30,0
4HKX,0.3077,0.21,28,33,8
1JHL,0.5405,0.41,24,27,10
2NYY,0.0,0.03,47,34,0
4ZS7,0.0513,0.26,26,19,1
4XAK,0.2564,0.29,28,26,5
2JEL,0.1,0.5,21,25,2
5GGT,0.0,0.32,24,14,0
2FD6,0.0,0,31,26,0
5KVD,0.0,0.04,25,13,0
4RGM,0.449,0.48,29,32,11
3GJF,0.0,0.04,34,17,0
1E6J,0.7647,0.48,30,22,13
4IJ3,0.0,0.33,29,21,0
5E8E,0.0,0.08,37,12,0
5FB8,0.129,0.18,25,12,2
5T5F,0.3333,0.14,31,17,5
4YPG,0.3103,0.2,26,35,9
4RWY,0.0,0.22,32,32,0
3CVH,0.0,0,32,23,0
1H0D,0.7222,0.39,24,19,13
5F96,0.0,0.22,32,31,0
5HYS,0.0,0.05,29,31,0
3RKD,0.0,0.07,36,18,0
1A14,0.4528,0.43,32,34,12
3I50,0.3721,0.36,34,32,8
1MLC,0.2326,0.37,24,29,5
2DD8,0.0,0.03,46,43,0
5C7X,0.4583,0.34,24,25,11
4OII,0.1333,0.13,26,24,3
4PP1,0.0,0,28,28,0
5KJR,0.2273,0.33,32,27,5
4U0R,0.0,0.09,32,20,0
5F3H,0.0,0,33,12,0
3SE9,0.0,0.2,32,32,0
3LD8,0.0,0,32,11,0
4ETQ,0.1923,0.28,28,30,5
2YPV,0.0,0.12,31,18,0
3U9P,0.0,0.37,26,21,0
5MES,0.129,0.43,25,19,2
4DGI,0.5,0.29,24,21,8
3KS0,0.0,0,36,19,0
3L5X,0.4571,0.35,24,25,8
1ORS,0.0,0.05,27,20,0
1TPX,0.1176,0.09,27,16,2
5F9O,0.0,0.22,32,31,0
5I9Q,0.093,0.3,32,21,2
4BZ1,0.3462,0.29,23,40,9
4OGX,0.093,0.17,29,14,2
5D93,0.0,0,36,21,0
3NFP,0.0,0.04,30,21,0
1AHW,0.2623,0.25,29,42,8
