protein,fscore_spidder_patch,spidder_total_predicted,fscore_ispred_patch,ispred_total_predicted,dynamic_cutoff,fscore_spidder_dynamic,fscore_ispred_dynamic
2ADF,0.2642,38,0,34,26,0.34,0.34
3HI6,0,7,0.3846,33,27,0.22,0.43
4O9H,0.2778,20,0.3243,21,26,0.43,0.24
4JPK,0,19,0.4286,31,26,0.04,0.24
4XAK,0.2667,17,0.2667,17,28,0.34,0.29
4AL8,0,21,0,27,35,0.04,0
4OT1,0,21,0,26,24,0.05,0.22
4CMH,0,17,0,22,30,0.11,0.11
4U0R,0.1765,20,0.1333,16,32,0.13,0.09
5SY8,0.4138,17,0.2581,19,25,0.38,0.43
3I50,0.4706,23,0,28,34,0.27,0.36
5MES,0.1667,12,0.2143,16,25,0.22,0.43
1OB1,0,10,0,28,23,0.22,0.22
3RVV,0,20,0,30,28,0.19,0.28
3NH7,0,6,0.2553,26,24,0.04,0.22
4G6M,0,12,0,30,26,0.13,0
4D3C,0,18,0,23,27,0.26,0.32
1NSN,0,18,0.32,32,25,0,0.51
4XWG,0.45,23,0,26,33,0.36,0
5L6Y,0,13,0.1818,22,24,0.11,0.23
2R29,0,22,0,25,34,0.04,0.04
4FFY,0.093,18,0.2456,32,23,0.17,0.29
5FB8,0.1714,16,0.0976,22,25,0.18,0.18
4YPG,0,14,0.1,37,26,0.08,0.2
5DUR,0,7,0.1364,28,28,0.09,0.14
1FE8,0,38,0,34,26,0.18,0.13
2J88,0,16,0.7407,17,31,0.24,0.29
3PNW,0.3333,15,0.1,25,22,0.27,0.27
5D70,0.1538,11,0.5366,26,24,0.26,0.41
4KUC,0.2143,15,0,27,29,0,0.05
5F9O,0,18,0,25,32,0,0.22
3LEV,0.129,22,0.2069,20,27,0.17,0.39
3BGF,0,17,0,25,46,0,0
1EO8,0,18,0,17,36,0,0
5GGT,0,20,0.2,17,24,0.22,0.32
2UZI,0.5,18,0.4865,19,26,0.59,0.73
4DGI,0.4828,18,0.129,20,24,0.4,0.29
1BQL,0,20,0,29,24,0,0
4G6J,0,12,0.0392,30,26,0.26,0.26
4I77,0.0625,13,0,22,24,0.05,0.14
5D8J,0.4444,18,0.4186,25,26,0.32,0.36
5A3I,0,21,0,27,36,0.08,0
4O58,0,19,0,23,36,0,0
4HF5,0,21,0,26,36,0,0
5UGY,0,19,0.0345,34,28,0.04,0.23
4DN4,0,8,0.3243,26,21,0.31,0.25
5TZ2,0,9,0,17,24,0,0.05
1MHP,0.4737,26,0.0889,33,26,0.32,0.26
5F3H,0,23,0,23,33,0,0
1A2Y,0.2857,20,0.2667,30,24,0.21,0.26
1A14,0,24,0.0952,23,32,0,0.43
2QQN,0,13,0,31,32,0,0.09
2VXQ,0.0667,15,0.2051,24,23,0.26,0.11
4ZPT,0.303,17,0.303,17,28,0.32,0.23
4ZSO,0,17,0,27,29,0.09,0.17
1NCA,0,24,0.4615,31,32,0,0.45
5LQB,0,19,0.3333,23,24,0.38,0.32
3GI8,0,22,0,28,33,0,0.04
4IJ3,0.381,22,0,25,29,0.45,0.33
4LU5,0,22,0,23,22,0.05,0.16
5HDQ,0,18,0,29,30,0.14,0.05
3L5W,0,13,0.0625,22,24,0.12,0.35
2FD6,0,20,0,34,31,0,0
5I9Q,0.1622,15,0.0851,25,32,0.11,0.3
4TSA,0.303,20,0.3721,30,24,0.16,0.32
3VG9,0.2273,18,0.0755,27,32,0.14,0.14
2YPV,0,18,0,15,31,0.12,0.12
5B3J,0,13,0,17,32,0.09,0.22
5KVE,0.1143,19,0.1111,20,25,0.2,0.1
5CZX,0,12,0.0909,30,29,0.14,0.28
5TZU,0,9,0.1111,17,24,0.05,0.23
3U7Y,0.2264,18,0,25,32,0.09,0.18
4BZ1,0.1935,19,0.1081,25,23,0.46,0.29
1FBI,0.1765,19,0,28,24,0.31,0.1
4UTA,0,23,0.1379,26,34,0.05,0.05
2JEL,0,23,0.2041,34,21,0,0.5
3GJF,0,25,0,21,34,0,0.04
5T5F,0.3871,18,0.4286,15,31,0.36,0.14
5FHX,0.32,14,0.3333,25,24,0.23,0.23
5TZT,0,9,0.16,17,24,0.12,0.31
5JQ6,0.1081,16,0.449,28,32,0.11,0.3
1RJL,0.0556,23,0.2381,29,26,0.05,0.36
5KVD,0.1538,19,0,20,25,0.13,0.04
3HMX,0.1622,19,0,25,32,0.12,0.04
1BVK,0.3243,20,0.2553,30,24,0.24,0.24
1IQD,0,31,0.4,14,26,0.38,0.67
5KVF,0.1176,19,0.1714,20,25,0.2,0.15
4BZ2,0,19,0,25,23,0.29,0.29
4Y5V,0,20,0.4898,27,28,0.08,0.68
5H35,0.1622,16,0.2963,33,27,0.08,0.21
3U9P,0.0645,14,0,21,26,0.28,0.37
4U6V,0,19,0,19,31,0,0
5KVG,0,19,0.25,20,25,0,0.09
4OII,0,26,0.2326,22,26,0.09,0.13
