protein,sppider_patch_fscore,sppider_dynamic_cutoff_fscore,dynamic_cutoff,sppider_number_predicted_by_patch,sppider_patch_tot_TP,ispred_patch_fscore,ispred_dynamic_cutoff_fscore
5HDQ,0.0,0.14,30,23,0,0.0,0.05
5DUM,0.0,0,28,28,0,0.0,0.04
4QTI,0.0,0,31,26,0,0.0,0.05
3MXW,0.0,0,26,15,0,0.6222,0.64
1EGJ,0.2581,0.51,24,20,4,0.2581,0.17
4HC1,0.381,0.26,29,25,8,0.0,0
2BDN,0.1951,0.11,21,24,4,0.0,0.11
3EOA,0.0,0.05,27,27,0,0.2162,0.29
4YDK,0.1754,0.06,32,24,5,0.0,0.18
5D70,0.3125,0.26,24,17,5,0.5263,0.41
4JPK,0.0,0.04,26,22,0,0.4286,0.24
5BV7,0.0,0,33,26,0,0.0,0.07
3NGB,0.125,0.07,32,24,3,0.0,0.18
3L5W,0.0,0.12,24,21,0,0.4118,0.35
4FFY,0.0,0.17,23,18,0,0.1509,0.29
5CZX,0.0,0.14,29,29,0,0.3333,0.28
5MVZ,0.0,0.32,26,20,0,0.0,0.18
3LIZ,0.0,0,31,32,0,0.0,0
5F9W,0.0,0,32,26,0,0.0,0.23
3ZKM,0.3846,0.15,32,29,10,0.0,0.07
2OZ4,0.0,0.04,31,23,0,0.0,0.12
4H8W,0.1818,0.2,32,25,4,0.2807,0.35
2R29,0.0,0.04,34,34,0,0.0,0.04
4TSA,0.0,0.16,24,17,0,0.3429,0.32
4LSU,0.1967,0.09,32,26,6,0.0,0.21
2R56,0.0,0.21,26,18,0,0.1224,0.17
1UJ3,0.0,0.04,29,21,0,0.1702,0.29
5H35,0.0426,0.08,27,26,1,0.1739,0.21
4KUC,0.0,0,29,23,0,0.0,0.05
4NNP,0.0,0.09,30,23,0,0.2927,0.23
5K9K,0.0,0.08,36,28,0,0.0,0.04
4D3C,0.0,0.26,27,21,0,0.1212,0.32
4LU5,0.0,0.05,22,19,0,0.1,0.16
3NH7,0.0,0.04,24,15,0,0.2128,0.22
1LK3,0.0,0.05,26,21,0,0.0,0.19
1C08,0.0,0.29,24,17,0,0.0,0.1
4YDJ,0.0,0,32,26,0,0.0,0.21
4BZ2,0.1622,0.29,23,19,3,0.0,0.29
2QQN,0.0,0,32,27,0,0.0,0.09
4LQF,0.0,0.06,22,19,0,0.0556,0.12
1IQD,0.4615,0.38,26,23,9,0.6667,0.67
4HCR,0.093,0.08,28,23,2,0.0,0.08
5KVG,0.0,0,25,18,0,0.0513,0.09
4I77,0.0,0.05,24,16,0,0.0,0.14
3Q3G,0.5366,0.51,26,24,11,0.4286,0.47
4ZPT,0.2979,0.32,28,31,7,0.2273,0.23
3U7Y,0.1967,0.09,32,26,6,0.0,0.18
4PP2,0.2273,0.29,28,24,5,0.4348,0.42
4K94,0.0,0.03,37,25,0,0.0,0.1
5L0Q,0.4375,0.33,26,22,7,0.4118,0.28
2YBR,0.5714,0.61,20,15,8,0.3333,0.36
4YK4,0.0,0.05,28,21,0,0.3077,0.2
4DTG,0.2424,0.32,21,16,4,0.2857,0.42
5TZU,0.0541,0.05,24,18,1,0.1538,0.23
4LEO,0.0,0,38,33,0,0.0,0
4AL8,0.0426,0.04,35,36,1,0.04,0
1OB1,0.0,0.22,23,17,0,0.1026,0.22
3IU3,0.0,0,30,23,0,0.0816,0
3WKM,0.0,0.16,27,20,0,0.2083,0.2
4M62,0.5455,0.45,25,18,9,0.4651,0.45
5JHL,0.4211,0.33,34,30,8,0.2727,0.19
3HMX,0.2083,0.12,32,30,5,0.0,0.04
4DN4,0.2857,0.31,21,24,5,0.3448,0.25
4Y5V,0.0,0.08,28,24,0,0.6667,0.68
5JQ6,0.1224,0.11,32,28,3,0.4364,0.3
4JR9,0.0,0,33,37,0,0.0,0
1QFU,0.0,0,36,28,0,0.0,0
4ZSO,0.0,0.09,29,29,0,0.0,0.17
4XWG,0.5116,0.36,33,26,11,0.0,0
4GMS,0.0,0,36,28,0,0.0,0
1FSK,0.0,0.09,27,20,0,0.6154,0.65
3LEV,0.0,0.17,27,21,0,0.4706,0.39
5D8J,0.4444,0.32,26,27,10,0.5116,0.36
4G6J,0.0,0.26,26,20,0,0.0,0.26
1WEJ,0.0,0.06,24,20,0,0.0,0.06
2ADF,0.4762,0.34,26,27,10,0.0465,0.34
3T2N,0.1667,0.12,32,28,4,0.1667,0.12
2UZI,0.55,0.59,26,22,11,0.5217,0.73
3PNW,0.125,0.27,22,17,2,0.0,0.27
4K2U,0.0,0.08,38,35,0,0.0,0.04
2EIZ,0.0,0.24,24,20,0,0.0,0
5SY8,0.4,0.38,25,18,6,0.4,0.43
4FP8,0.0,0,36,28,0,0.0,0
5B3J,0.1818,0.09,32,30,4,0.2222,0.22
1BQL,0.0,0,24,18,0,0.0,0
5UGY,0.0,0.04,28,21,0,0.3137,0.23
1EO8,0.0,0,36,28,0,0.0,0
5KVE,0.0588,0.2,25,18,1,0.1,0.1
5DUR,0.1364,0.09,28,28,3,0.1333,0.14
1RJL,0.0571,0.05,26,22,1,0.45,0.36
4U6V,0.0,0,31,21,0,0.0,0
5LQB,0.4706,0.38,24,21,8,0.439,0.32
4F15,0.0,0,36,31,0,0.0,0
4OT1,0.0556,0.05,24,23,1,0.05,0.22
1A2Y,0.2857,0.21,24,20,5,0.1081,0.26
4HF5,0.0,0,36,33,0,0.0,0
4G6M,0.0,0.13,26,20,0,0.0,0
4CNI,0.4324,0.3,26,23,8,0.4186,0.35
5CBA,0.0,0.11,22,18,0,0.0,0.11
2J88,0.2564,0.24,31,29,5,0.5,0.29
5TZ2,0.0,0,24,18,0,0.0588,0.05
1ZTX,0.0476,0.05,24,27,1,0.0,0.15
2VXQ,0.0571,0.26,23,20,1,0.1667,0.11
1FE8,0.3913,0.18,26,27,9,0.0,0.13
5F3B,0.0,0,33,22,0,0.0,0
4KI5,0.0606,0.09,46,46,2,0.0,0.03
1FBI,0.0,0.31,24,18,0,0.0,0.1
4HKX,0.0,0.04,28,21,0,0.3043,0.21
1JHL,0.125,0.24,24,22,2,0.4828,0.41
2NYY,0.0299,0.11,47,44,1,0.0,0.03
4ZS7,0.0465,0.22,26,23,1,0.0408,0.26
4XAK,0.2927,0.34,28,28,6,0.2703,0.29
2JEL,0.0,0,21,14,0,0.125,0.5
5GGT,0.0,0.22,24,19,0,0.0,0.32
2FD6,0.0,0,31,26,0,0.0,0
5KVD,0.0526,0.13,25,18,1,0.0455,0.04
4RGM,0.0976,0.17,29,24,2,0.4583,0.48
3GJF,0.0,0,34,29,0,0.0,0.04
1E6J,0.0,0.05,30,22,0,0.6667,0.48
4IJ3,0.3636,0.45,29,24,8,0.0,0.33
5E8E,0.0,0.08,37,26,0,0.0,0.08
5FB8,0.0,0.18,25,19,0,0.1081,0.18
5T5F,0.55,0.36,31,27,11,0.2083,0.14
4YPG,0.0444,0.08,26,22,1,0.3462,0.2
4RWY,0.1379,0.09,32,26,4,0.0,0.22
3CVH,0.0,0,32,34,0,0.0,0
1H0D,0.0,0.44,24,20,0,0.7568,0.39
5F96,0.0,0,32,23,0,0.0,0.22
5HYS,0.0,0.1,29,22,0,0.0,0.05
3RKD,0.0,0,36,25,0,0.037,0.07
1A14,0.0851,0,32,28,2,0.48,0.43
3I50,0.4615,0.27,34,28,9,0.3721,0.36
1MLC,0.0,0.16,24,17,0,0.2778,0.37
2DD8,0.0,0,46,36,0,0.0,0.03
5C7X,0.2927,0.34,24,18,6,0.3721,0.34
4OII,0.0,0.09,26,23,0,0.1364,0.13
4PP1,0.0,0.08,28,24,0,0.0,0
5KJR,0.1429,0.2,32,25,3,0.1818,0.33
4U0R,0.0952,0.13,32,28,2,0.0,0.09
5F3H,0.0,0,33,22,0,0.0,0
3SE9,0.0784,0.03,32,24,2,0.0,0.2
3LD8,0.0,0,32,29,0,0.05,0
4ETQ,0.2083,0.24,28,26,5,0.2174,0.28
2YPV,0.0,0.12,31,27,0,0.0435,0.12
3U9P,0.0526,0.28,26,21,1,0.0,0.37
5MES,0.1333,0.22,25,18,2,0.1765,0.43
4DGI,0.4667,0.4,24,19,7,0.4828,0.29
3KS0,0.0,0,36,23,0,0.0,0
3L5X,0.0,0.12,24,16,0,0.4118,0.35
1ORS,0.6667,0.27,27,20,10,0.0,0.05
1TPX,0.1081,0.09,27,19,2,0.1,0.09
5F9O,0.0,0,32,26,0,0.0,0.22
5I9Q,0.125,0.11,32,26,3,0.0727,0.3
4BZ1,0.6452,0.46,23,19,10,0.1765,0.29
4OGX,0.1754,0.24,29,28,5,0.1404,0.17
5D93,0.0,0.07,36,30,0,0.0,0
3NFP,0.0,0,30,23,0,0.0,0.04
1AHW,0.0,0.04,29,21,0,0.2174,0.25
