3kr3D,1.10.100.10,,,,,,,,,,
3ngbG,2.170.40.20,,,,,,,,,3.40.30,3
3jwdA,2.170.40.20,,,,,,,,,,
4xnyG,2.170.40.20,,,,,,,,,,
4xmpG,2.170.40.20,,,,,,,,,3.40.420,1
1g9mG,2.170.40.20,,,,,,,,,3.40.50,17
3hi1J,2.170.40.20,,,,,,,,,3.40.930,2
3idxG,2.170.40.20,,,,,,,,,,
4j6rG,2.170.40.20,,,,,,,,,3.50.4,1
4lsuG,2.170.40.20,,,,,,,,,3.80.10,2
5kjrG,2.170.40.20,,,,,,,,,3.80.20,6
5f9wA,2.170.40.20,,,,,,,,,3.90.1240,1
4xvsG,2.170.40.20,,,,,,,,,,
2ny7G,2.170.40.20,,,,,,,,,3.90.209,10
3se9G,2.170.40.20,,,,,,,,,3.90.70,3
5f9oG,2.170.40.20,,,,,,,,,,
5i9qA,2.170.40.20,,,,,,,,,,
4jpwG,2.170.40.20,,,,,,,,,3.90.930,1
5f96G,2.170.40.20,,,,,,,,,4.10.1240,2
4ydjG,2.170.40.20,,,,,,,,,4.10.410,1
3u7yG,2.170.40.20,,,,,,,,,6.10.140,2
4ydkG,2.170.40.20,,,,,,,,,,
4h8wG,2.170.40.20,,,,,,,,,,
4ot1A,2.30.29.100,,,,,,,,,,
3pnwC,2.30.30.140,,,,,,,,,,
5fb8C,2.30.42.10,,,,,,,,,,
3wkmA,2.30.42.10,2.30.42.10,,,,,,,,,
2zchP,2.40.10.10,2.40.10.10,,,,,,,,,
4ogxA,2.40.10.10,2.40.10.10,,,,,,,,,
5e8eH,2.40.10.10,2.40.10.10,,,,,,,,,
1ospO,2.40.128.160,3.90.930.1,,,,,,,,,
1fj1F,2.40.128.160,3.90.930.1,,,,,,,,,
5d8jA,2.40.128.20,,,,,,,,,,
3u9pC,2.40.128.20,,,,,,,,,,
5c0nA,2.40.128.20,,,,,,,,,,
2r56A,2.40.128.20,,,,,,,,,,
4d3cA,2.40.20.10,,,,,,,,,,
5cbaE,2.40.50.40,,,,,,,,,,
2bdnA,2.40.50.40,,,,,,,,,,
4dn4M,2.40.50.40,,,,,,,,,,
1nsnS,2.40.50.90,,,,,,,,,,
5kw9A,2.40.510.10,2.40.30.120,,,,,,,,,
3zkmA,2.40.70.10,2.40.70.10,,,,,,,,,
1iqdC,2.60.120.260,,,,,,,,,,
3skjE,2.60.120.260,,,,,,,,,,
4ki5M,2.60.120.260,,,,,,,,,,
2qqnA,2.60.120.260,,,,,,,,,,
4ag4A,2.60.120.260,2.60.120.1190,,,,,,,,,
3ld8A,2.60.120.650,1.20.1280.270,,,,,,,,,
3hmxA,2.60.40.10,2.60.40.10,2.60.40.10,,,,,,,,
3wihA,2.60.40.10,,,,,,,,,,
4liqE,2.60.40.10,2.60.40.10,2.60.40.10,,,,,,,,
1sy6A,2.60.40.10,2.60.40.10,,,,,,,,,
4y5vC,2.60.40.10,2.60.40.10,,,,,,,,,
5tz2C,2.60.40.10,,,,,,,,,,
1jrhI,2.60.40.10,,,,,,,,,,
5tzuC,2.60.40.10,,,,,,,,,,
4hcrA,2.60.40.10,2.60.40.10,,,,,,,,,
3v6oA,2.60.40.10,2.60.40.10,,,,,,,,,
1xiwA,2.60.40.10,,,,,,,,,,
5tztD,2.60.40.10,,,,,,,,,,
1ahwC,2.60.40.10,2.60.40.10,,,,,,,,,
5ggtA,2.60.40.10,,,,,,,,,,
4k94C,2.60.40.10,2.60.40.10,,,,,,,,,
4zsoE,2.60.40.10,2.60.40.10,,,,,,,,,
1jpsT,2.60.40.10,2.60.40.10,,,,,,,,,
3b9kB,2.60.40.10,,,,,,,,,,
3s35X,2.60.40.10,,,,,,,,,,
5hysG,2.60.40.10,2.60.40.10,,,,,,,,,
1egjA,2.60.40.10,,,,,,,,,,
3s37X,2.60.40.10,,,,,,,,,,
2arjQ,2.60.40.10,,,,,,,,,,
2oz4A,2.60.40.10,2.60.40.10,2.60.40.10,,,,,,,,
4hwbA,2.60.40.10,,,,,,,,,,
3grwA,2.60.40.10,2.60.40.10,,,,,,,,,
4hc1A,2.60.40.10,2.60.40.10,,,,,,,,,
1uj3C,2.60.40.10,2.60.40.10,,,,,,,,,
4y5yC,2.60.40.10,2.60.40.10,,,,,,,,,
5jq6A,2.60.40.1280,2.60.40.1290,,,,,,,,,
3lizA,2.60.40.1960,2.40.70.10,2.40.70.10,,,,,,,,
2ypvA,2.60.40.1980,2.40.160.90,,,,,,,,,
5t5fA,2.60.40.1980,2.40.160.90,,,,,,,,,
4f2mE,2.60.40.3130,,,,,,,,,,
2r29A,2.60.40.350,,,,,,,,,,
4bz1A,2.60.40.350,,,,,,,,,,
5kvgE,2.60.40.350,,,,,,,,,,
4al8C,2.60.40.350,,,,,,,,,,
5kvdE,2.60.40.350,,,,,,,,,,
5kvfE,2.60.40.350,,,,,,,,,,
1ztxE,2.60.40.350,,,,,,,,,,
4bz2A,2.60.40.350,,,,,,,,,,
4l5fE,2.60.40.350,,,,,,,,,,
4ffyA,2.60.40.350,,,,,,,,,,
5kveE,2.60.40.350,,,,,,,,,,
4jzjD,2.60.40.3850,2.60.40.10,2.60.40.10,,,,,,,,
1ar1B,2.60.40.420,1.10.287.90,,,,,,,,,
2vxqA,2.60.40.760,,,,,,,,,,
5jhlA,2.60.98.10,3.30.67.10,3.30.387.10,2.60.40.350,,,,,,,
4utaB,2.60.98.10,3.30.67.10,3.30.387.10,2.60.40.350,,,,,,,
3uc0A,2.60.98.10,,,,,,,,,,
3w9eC,2.70.230.10,,,,,,,,,,
5k59B,2.70.240.10,,,,,,,,,,
4u6vA,2.70.240.10,,,,,,,,,,
4g6jA,2.80.10.50,,,,,,,,,,
5mvzU,2.80.10.50,,,,,,,,,,
4g6mA,2.80.10.50,,,,,,,,,,
1hysB,3.10.10.10,3.30.70.270,3.30.70.270,3.30.70.270,,,,,,,
4lu5B,3.10.100.10,,,,,,,,,,
4lqfA,3.10.100.10,,,,,,,,,,
3ks0A,3.10.120.10,,,,,,,,,,
1h0dC,3.10.130.10,,,,,,,,,,
4dqoC,3.10.20.10,,,,,,,,,,
3u2sG,3.10.20.10,,,,,,,,,,
4ywgG,3.10.20.10,,,,,,,,,,
4rgmS,3.10.20.120,2.40.50.110,,,,,,,,,
5ikcM,3.10.20.230,,,,,,,,,,
4etqC,3.10.200.10,,,,,,,,,,
3t2nA,3.10.250.10,2.40.10.10,2.40.10.10,,,,,,,,
2j88A,3.20.20.70,,,,,,,,,,
2jelP,3.30.1340.10,,,,,,,,,,
4nzrM,3.30.1370.200,2.160.20.180,3.30.110.180,,,,,,,,
3mxwA,3.30.1380.10,,,,,,,,,,
3vi3B,3.30.1680.10,2.60.40.1510,3.40.50.410,,,,,,,,
2ybrC,3.30.30.10,,,,,,,,,,
4aeiA,3.30.30.10,,,,,,,,,,
5czxA,3.30.300.320,3.30.70.3310,,,,,,,,,
3gjfA,3.30.500.10,2.60.40.10,,,,,,,,,
1w72A,3.30.500.10,2.60.40.10,,,,,,,,,
3cvhA,3.30.500.10,2.60.40.10,,,,,,,,,
2xqyA,3.30.500.50,1.20.58.1340,2.60.40.3190,,,,,,,,
1fskA,3.30.530.20,,,,,,,,,,
4xakA,3.30.70.1840,2.20.210.30,,,,,,,,,
3bgfA,3.30.70.1840,,,,,,,,,,
2dd8S,3.30.70.1840,,,,,,,,,,
4zptR,3.30.70.1840,2.20.210.30,,,,,,,,,
3pgfA,3.40.190.10,3.40.190.10,,,,,,,,,
4ij3A,3.40.30.10,3.40.30.10,,,,,,,,,
5d93A,3.40.30.10,3.40.30.10,,,,,,,,,
1oazA,3.40.30.10,,,,,,,,,,
4kucA,3.40.420.10,4.10.470.10,,,,,,,,,
1bgxT,3.40.50.1010,1.10.150.20,3.30.420.10,,,,,,,,
4xwgA,3.40.50.1820,,,,,,,,,,
5bv7A,3.40.50.1820,,,,,,,,,,
4qwwB,3.40.50.1820,,,,,,,,,,
5hdqA,3.40.50.1980,3.40.50.1980,,,,,,,,,
4nnpA,3.40.50.1980,3.40.50.1980,,,,,,,,,
3sqoA,3.40.50.200,2.60.120.690,,,,,,,,,
4lvnA,3.40.50.200,,,,,,,,,,
5b3jD,3.40.50.2300,3.40.50.2300,,,,,,,,,
2uziR,3.40.50.300,,,,,,,,,,
3q3gG,3.40.50.410,,,,,,,,,,
3hi6B,3.40.50.410,,,,,,,,,,
1mhpA,3.40.50.410,,,,,,,,,,
3eoaI,3.40.50.410,,,,,,,,,,
1fnsA,3.40.50.410,,,,,,,,,,
2adfA,3.40.50.410,,,,,,,,,,
1fe8A,3.40.50.410,,,,,,,,,,
5sy8O,3.40.930.10,,,,,,,,,,
4m62S,3.40.930.10,,,,,,,,,,
2q8aA,3.50.4.10,6.10.250.430,,,,,,,,,
3g04C,3.80.10.10,,,,,,,,,,
2xwtC,3.80.10.10,,,,,,,,,,
5sx4M,3.80.20.20,,,,,,,,,,
4leoC,3.80.20.20,2.10.220.10,3.80.20.20,,,,,,,,
1yy9A,3.80.20.20,2.10.220.10,3.80.20.20,,,,,,,,
3b2uA,3.80.20.20,,,,,,,,,,
1n8zC,3.80.20.20,2.10.220.10,3.80.20.20,,,,,,,,
4uv7A,3.80.20.20,2.10.220.10,3.80.20.20,,,,,,,,
2nyyA,3.90.1240.10,1.20.1120.10,2.60.120.200,,,,,,,,
5dumA,3.90.209.20,,,,,,,,,,
5durA,3.90.209.20,,,,,,,,,,
4f15A,3.90.209.20,,,,,,,,,,
1qfuA,3.90.209.20,2.10.77.10,,,,,,,,,
4o58A,3.90.209.20,,,,,,,,,,
4yk4E,3.90.209.20,,,,,,,,,,
1eo8A,3.90.209.20,,,,,,,,,,
4hkxE,3.90.209.20,,,,,,,,,,
5k9kI,3.90.209.20,,,,,,,,,,
4gmsA,3.90.209.20,,,,,,,,,,
3rvvA,3.90.70.10,,,,,,,,,,
4pp1B,3.90.70.10,,,,,,,,,,
4pp2F,3.90.70.10,,,,,,,,,,
1rjlC,3.90.930.1,,,,,,,,,,
4hj0A,4.10.1240.10,,,,,,,,,,
4lf3C,4.10.1240.10,,,,,,,,,,
4dtgK,4.10.410.10,,,,,,,,,,
4okvF,6.10.140.1890,,,,,,,,,,
5dhvM,6.10.140.630,,,,,,,,,,
4tsaA,,,,,,,,,,,
5l0qA,,,,,,,,,,,
3wxvA,,,,,,,,,,,
4m48A,,,,,,,,,,,
5fcuG,,,,,,,,,,,
5h35C,,,,,,,,,,,
2xraA,,,,,,,,,,,
4k2uA,,,,,,,,,,,
4mwfD,,,,,,,,,,,
4jpkA,,,,,,,,,,,
3rkdA,,,,,,,,,,,
2j4wD,,,,,,,,,,,
4u0rA,,,,,,,,,,,
4oiiA,,,,,,,,,,,
5e94G,,,,,,,,,,,
5en2C,,,,,,,,,,,
5iesC,,,,,,,,,,,
3i50E,,,,,,,,,,,
