protein,patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_patch,patch_tot_TP
2QQN,0.0,0.09,32,21,0
4LQF,0.0417,0.12,22,37,1
1IQD,0.6486,0.67,26,21,12
4HCR,0.0,0.08,28,27,0
5KVG,0.0513,0.09,25,19,1
4I77,0.0,0.14,24,28,0
3Q3G,0.5,0.47,26,35,13
4ZPT,0.2128,0.23,28,31,5
3U7Y,0.0,0.18,32,42,0
4PP2,0.4912,0.42,28,37,14
4K94,0.0,0.1,37,22,0
5L0Q,0.3784,0.28,26,27,7
2YBR,0.2791,0.36,20,30,6
4YK4,0.2593,0.2,28,42,7
4DTG,0.3243,0.42,21,20,6
5TZU,0.0,0.23,24,10,0
4LEO,0.0,0,38,46,0
4AL8,0.0312,0,35,53,1
1OB1,0.1,0.22,23,27,2
3IU3,0.0976,0,30,21,2
3WKM,0.24,0.2,27,26,6
4M62,0.52,0.45,25,35,13
5JHL,0.2553,0.19,34,39,6
3HMX,0.0,0.04,32,29,0
4DN4,0.2941,0.25,21,23,5
4Y5V,0.7097,0.68,28,40,22
5JQ6,0.4561,0.3,32,36,13
4JR9,0.0,0,33,29,0
1QFU,0.0,0,36,15,0
4ZSO,0.0,0.17,29,34,0
4XWG,0.0,0,33,39,0
4GMS,0.0,0,36,18,0
1FSK,0.6316,0.65,27,22,12
3LEV,0.5143,0.39,27,26,9
5D8J,0.5217,0.36,26,28,12
4G6J,0.0,0.26,26,30,0
1WEJ,0.0,0.06,24,30,0
2ADF,0.0426,0.34,26,32,1
3T2N,0.1333,0.12,32,40,4
2UZI,0.5789,0.73,26,20,11
3PNW,0.0,0.27,22,10,0
4K2U,0.0,0.04,38,34,0
2EIZ,0.0,0,24,29,0
5SY8,0.3913,0.43,25,34,9
4FP8,0.0,0,36,17,0
5B3J,0.2083,0.22,32,34,5
1BQL,0.0,0,24,29,0
5UGY,0.2424,0.23,28,42,8
1EO8,0.0,0,36,15,0
5KVE,0.1143,0.1,25,19,2
5DUR,0.1579,0.14,28,22,3
1RJL,0.5806,0.36,26,18,9
4U6V,0.0,0,31,22,0
5LQB,0.3704,0.32,24,41,10
4F15,0.0,0,36,25,0
4OT1,0.087,0.22,24,33,2
1A2Y,0.3404,0.26,24,32,8
4HF5,0.0,0,36,19,0
4G6M,0.0,0,26,30,0
4CNI,0.5714,0.35,26,21,10
5CBA,0.0526,0.11,22,24,1
2J88,0.8667,0.29,31,20,13
5TZ2,0.0,0.05,24,10,0
1ZTX,0.3607,0.15,24,46,11
2VXQ,0.1224,0.11,23,34,3
1FE8,0.0,0.13,26,34,0
5F3B,0.0,0,33,12,0
4KI5,0.0,0.03,46,35,0
1FBI,0.0,0.1,24,30,0
4HKX,0.2623,0.21,28,42,8
1JHL,0.5263,0.41,24,28,10
2NYY,0.0,0.03,47,40,0
4ZS7,0.0488,0.26,26,21,1
4XAK,0.2564,0.29,28,26,5
2JEL,0.093,0.5,21,28,2
5GGT,0.0,0.32,24,15,0
2FD6,0.0,0,31,28,0
5KVD,0.0,0.04,25,19,0
4RGM,0.4074,0.48,29,37,11
3GJF,0.0,0.04,34,28,0
1E6J,0.8,0.48,30,23,14
4IJ3,0.0,0.33,29,21,0
5E8E,0.0,0.08,37,12,0
5FB8,0.1143,0.18,25,16,2
5T5F,0.2632,0.14,31,25,5
4YPG,0.2769,0.2,26,42,9
4RWY,0.0,0.22,32,40,0
3CVH,0.0,0,32,26,0
1H0D,0.8205,0.39,24,22,16
5F96,0.0,0.22,32,42,0
5HYS,0.0,0.05,29,31,0
3RKD,0.0,0.07,36,24,0
1A14,0.459,0.43,32,42,14
3I50,0.4,0.36,34,34,9
1MLC,0.2273,0.37,24,30,5
2DD8,0.0,0.03,46,52,0
5C7X,0.4583,0.34,24,25,11
4OII,0.1304,0.13,26,25,3
4PP1,0.0,0,28,38,0
5KJR,0.1754,0.33,32,40,5
4U0R,0.0,0.09,32,23,0
5F3H,0.0,0,33,13,0
3SE9,0.0,0.2,32,43,0
3LD8,0.0,0,32,12,0
4ETQ,0.1852,0.28,28,32,5
2YPV,0.0444,0.12,31,26,1
3U9P,0.0,0.37,26,21,0
5MES,0.1622,0.43,25,25,3
4DGI,0.4706,0.29,24,23,8
3KS0,0.0,0,36,19,0
3L5X,0.4615,0.35,24,29,9
1ORS,0.0,0.05,27,26,0
1TPX,0.1143,0.09,27,17,2
5F9O,0.0,0.22,32,42,0
5I9Q,0.0816,0.3,32,27,2
4BZ1,0.4,0.29,23,43,11
4OGX,0.0833,0.17,29,19,2
5D93,0.0,0,36,23,0
3NFP,0.0,0.04,30,23,0
1AHW,0.4058,0.25,29,50,14
