protein,elbow,silhouette,,,,,
3SQO,5,3,,,,,
1N8Z,6,2,,,,,
3PGF,7,2,,,,,
1AR1,6,2,,,,,
3WXV,6,3,,,,,
4ZPT,6,2,,,,,
5F96,5,3,,,,,
4ZSO,6,4,,,,,
1ZTX,6,2,,,,,
4AEI,7,2,,,,,
3MA9,6,2,,,,,
2XWT,6,5,,,,,
3WIH,6,3,,,,,
4O9H,6,2,,,,,
2XRA,7,2,,,,,
5D93,6,2,,,,,
5H35,7,2,,,,,
2YBR,8,2,,,,,
4K3J,6,2,,,,,
3U9P,7,2,,,,,
4GMS,6,2,,,,,
