protein,percentage_of_annotated_1,percentage_of_predicted_1,percentage_of_annotated_2,percentage_of_predicted_2,dis_total_1_2
2QQN,100.0,64.0,0.0,36.0,28.2668
5CBA,50.0,70.0,50.0,30.0,12.809
4LF3,46.67,65.22,53.33,34.78,17.2274
2Q8A,0.0,61.29,100.0,38.71,38.6711
1XIW,0.0,95.65,100.0,4.35,15.913
4K3J,100.0,61.11,0.0,38.89,52.1396
4K94,100.0,57.14,0.0,42.86,39.253
4HC1,100.0,44.83,0.0,55.17,49.9859
3L5X,100.0,52.17,0.0,47.83,21.8219
3GJF,100.0,35.48,0.0,64.52,40.2454
5UGY,0.0,84.38,100.0,15.62,76.9459
5FCU,95.0,52.17,5.0,47.83,20.1898
3PNW,43.75,30.0,56.25,70.0,13.9608
5KVG,100.0,30.43,0.0,69.57,25.445
3WXV,0.0,71.88,100.0,28.12,23.6944
2DD8,100.0,35.71,0.0,64.29,21.62
2ARJ,100.0,16.67,0.0,83.33,14.08
4DTG,70.59,50.0,29.41,50.0,13.7043
3EOA,100.0,53.85,0.0,46.15,24.6896
4U6V,81.25,63.33,18.75,36.67,13.5379
1C08,100.0,45.83,0.0,54.17,17.7905
5KVF,60.0,91.3,40.0,8.7,18.4099
4LQF,0.0,90.48,100.0,9.52,19.7178
4HWB,90.48,48.0,9.52,52.0,22.7391
4U0R,100.0,74.19,0.0,25.81,59.5741
1EZV,0.0,100.0,100.0,0.0,75.7513
2R56,100.0,76.92,0.0,23.08,19.4145
3L5W,100.0,43.48,0.0,56.52,23.5107
3U2S,64.29,43.48,35.71,56.52,14.5761
3VG9,0.0,100.0,100.0,0.0,36.4663
5E94.,0.0,66.67,100.0,33.33,24.4555
5K9K,0.0,83.33,100.0,16.67,63.1806
3RKD,20.0,100.0,80.0,0.0,18.754
1ZTX,100.0,43.48,0.0,56.52,26.1218
5K59,100.0,93.55,0.0,6.45,67.8828
1FJ1,100.0,64.52,0.0,35.48,52.7208
3GI8,0.0,100.0,100.0,0.0,25.9485
3Q1S,33.33,50.0,66.67,50.0,15.7054
5C0N,100.0,44.0,0.0,56.0,14.1092
4OKV,0.0,90.48,100.0,9.52,33.3941
3U7Y,77.14,34.38,22.86,65.62,30.3462
1OSP,100.0,38.71,0.0,61.29,42.3483
