Protein Name,% annotated in cluster 1,% predicted in cluster 1,% annotated in cluster 2,% predicted in cluster 2,% annotated in cluster 3,% predicted in cluster 3,distance 1-2,distance 2-3,distance 1-3
4OT1,69.23,25,0,50,30.77,25,18.1747,12.5273,16.3506
2ZCH,0,50,100,7.14,0,42.86,23.9548,27.9261,22.2224
4PP1,0,60.71,90.48,0,9.52,39.29,26.8855,19.3992,16.0379
1MLC,100,12.5,0,50,0,37.5,22.3557,15.3161,22.0592
4ZPT,81.25,57.14,0,21.43,18.75,21.43,27.7474,32.8435,15.1455
3IU3,35,33.33,0,50,65,16.67,22.6316,32.919,13.3382
4ZS7,45,44,0,52,55,4,19.8349,22.0228,23.1581
2ADF,60,48.15,0,25.93,40,25.93,30.0994,21.5145,13.7864
5HYS,0,68.97,100,0,0,31.03,34.5026,50.0839,18.9587
4TSA,53.85,57.14,23.08,23.81,23.08,19.05,12.5115,10.6419,13.6987
3LIZ,0,61.29,100,3.23,0,35.48,30.9436,31.6937,21.2524
3LEV,0,59.26,22.22,29.63,77.78,11.11,17.7647,13.9312,19.1317
2VDK,10.53,55.88,89.47,0,0,44.12,26.2365,34.4371,19.1202
5GGT,76.92,58.33,0,12.5,23.08,29.17,34.3012,25.0811,11.8914
2EIZ,77.78,29.17,0,45.83,22.22,25,16.9169,25.4214,15.5066
1BQL,100,12.5,0,58.33,0,29.17,23.0652,15.3549,22.8352
1N8Z,52.94,34.21,0,34.21,47.06,31.58,55.135,68.9362,23.9351
3NGB,29.17,36.36,0,63.64,70.83,0,32.3724,37.8519,31.3077
1OAZ,29.41,44,23.53,32,47.06,24,13.45,11.9881,14.8697
5LQB,6.25,54.17,25,29.17,68.75,16.67,24.139,12.1081,18.0897
4YDJ,50,45.16,0,54.84,50,0,39.691,30.7836,18.5183
2AEP,23.81,53.12,0,43.75,76.19,3.12,29.8153,37.7744,23.1775
1EGJ,9.09,50,63.64,33.33,27.27,16.67,14.05,14.4141,12.9817
3RVV,0,50,100,3.57,0,46.43,25.0368,22.6778,14.521
1SY6,0,55.56,100,0,0,44.44,34.0355,31.406,13.676
2NY7,30.43,77.42,69.57,12.9,0,9.68,19.3218,27.456,40.5003
4KUC,100,26.67,0,23.33,0,50,41.7135,40.0751,15.7869
5IKC,46.15,54.55,30.77,13.64,23.08,31.82,15.0921,10.9784,14.1113
4O9H,37.5,53.85,0,46.15,62.5,0,27.259,31.5805,18.4123
3LD8,46.15,46.88,0,34.38,53.85,18.75,36.6464,30.5915,25.2357
3NH7,33.33,77.27,42.86,0,23.81,22.73,20.2623,18.9309,15.018
4LIQ,94.12,33.33,5.88,58.33,0,8.33,35.3881,95.4294,61.7595
3GRW,33.33,48.28,27.27,44.83,39.39,6.9,46.8554,20.6314,27.3867
3WIH,61.54,27.27,0,22.73,38.46,50,20.9151,22.3096,12.5496
1MHP,66.67,65.38,0,19.23,33.33,15.38,28.368,29.3037,16.52
1JRH,0,56.52,46.67,30.43,53.33,13.04,16.6872,10.6817,22.95
3BGF,100,37.04,0,33.33,0,29.63,16.773,15.4577,30.9545
3X3F,0,52.38,25,28.57,75,19.05,17.1623,11.287,28.1765
4LEO,100,35.9,0,51.28,0,12.82,64.6537,46.7744,76.9535
1OB1,53.85,26.09,46.15,43.48,0,30.43,15.0269,18.6907,15.0596
5JQ6,4.76,68.75,57.14,12.5,38.1,18.75,18.5977,18.0414,16.5779
4RWY,79.41,9.09,0,42.42,20.59,48.48,33.0611,43.8784,27.1319
1YY9,100,10.26,0,46.15,0,43.59,64.6435,28.4915,68.7726
5SY8,61.54,56,7.69,36,30.77,8,16.825,13.8512,13.652
3MXW,42.86,48,57.14,0,0,52,14.6716,13.9087,25.6351
4YDK,72.73,21.88,0,43.75,27.27,34.38,39.4546,44.2855,25.7951
5EN2,0,72,76.19,4,23.81,24,18.8495,16.265,18.752
1E6J,8.33,72.41,0,27.59,91.67,0,45.7754,66.6527,25.4613
4OGX,100,0,0,65.52,0,34.48,24.5447,17.6095,24.6167
2FD6,100,46.67,0,43.33,0,10,35.257,33.7268,42.25
5A3I,100,15.62,0,43.75,0,40.62,79.3148,24.3596,57.1329
4UV7,0,53.85,0,33.33,100,12.82,46.6359,42.2996,67.4512
2BDN,23.53,57.14,76.47,0,0,42.86,15.7965,12.8818,14.0435
1NCA,0,46.88,0,53.12,100,0,23.8233,20.9643,30.7783
5I9Q,100,0,0,63.64,0,36.36,35.0829,38.9781,30.0316
1G9M,41.67,43.75,0,12.5,58.33,43.75,38.1725,47.1841,18.0485
4EDW,11.76,70.83,52.94,25,35.29,4.17,16.7057,19.3905,33.9889
4JR9,0,69.7,100,0,0,30.3,25.8197,37.7564,25.0448
5MVZ,94.44,8,0,44,5.56,48,20.9354,24.0057,19.804
4CMH,100,0,0,41.38,0,58.62,29.5092,42.1341,25.7138
4Y5V,0,31.03,36.36,27.59,63.64,41.38,22.8774,16.0845,17.6323
4YPG,80,23.08,0,57.69,20,19.23,25.7205,19.4739,16.0956
4FQJ,100,29.03,0,25.81,0,45.16,45.271,60.641,22.4526
4CNI,0,65.38,100,11.54,0,23.08,26.4689,44.192,19.0866
5KVD,55,30.43,45,21.74,0,47.83,17.9715,24.4026,12.5347
4YUE,13.33,39.13,20,26.09,66.67,34.78,22.3524,12.3209,10.9449
3THM,5.56,50,55.56,13.64,38.89,36.36,22.4308,12.7897,30.9758
4H8W,84.21,34.38,0,31.25,15.79,34.38,29.5532,38.5975,14.6335
1FE8,0,44.44,47.37,37.04,52.63,18.52,25.181,13.0758,24.5619
4F15,0,48.28,0,48.28,100,3.45,36.2861,17.5494,33.045
5CZX,100,37.93,0,51.72,0,10.34,29.906,21.1626,31.3279
4Y5Y,57.14,35.71,0,39.29,42.86,25,23.3574,27.3007,15.8708
4AG4,0,81.25,0,18.75,100,0,43.6073,52.3512,26.306
3ZKM,0,39.39,73.08,54.55,26.92,6.06,40.2344,16.9633,39.4549
3B9K,47.37,20.83,0,70.83,52.63,8.33,18.0761,17.3888,12.9423
5KVE,25,73.91,31.25,4.35,43.75,21.74,18.129,16.4151,12.7429
1V7M,0,56,100,4,0,40,18.023,18.0165,12.7866
3SQO,100,11.43,0,60,0,28.57,29.2627,30.1968,52.6924
4GMS,22.22,87.5,77.78,0,0,12.5,20.5445,50.9542,33.1923
4DQO,100,21.74,0,34.78,0,43.48,20.9378,22.1442,16.4918
3PGF,56.52,50,0,21.88,43.48,28.12,30.7867,23.4342,13.8585
4F2M,0,61.54,91.67,23.08,8.33,15.38,37.6334,13.3292,40.3287
3U9P,0,50,100,7.69,0,42.31,23.2042,16.2291,18.1843
1WEJ,0,45.83,100,8.33,0,45.83,15.8396,18.4814,15.1451
1QFU,94.74,25,5.26,46.88,0,28.12,24.3181,18.7184,19.8143
2JEL,93.33,31.82,6.67,45.45,0,22.73,17.4097,12.3907,23.1699
4LVN,100,0,0,73.33,0,26.67,29.9067,35.4813,26.2122
1ORS,100,23.08,0,46.15,0,30.77,22.0659,21.3909,24.2859
2R29,18.75,73.91,81.25,0,0,26.09,17.8572,17.9019,23.7642
4L5F,100,4.35,0,69.57,0,26.09,23.5221,28.0694,16.8695
3S37,77.78,62.5,0,33.33,22.22,4.17,29.1102,16.0058,14.8535
1FNS,0,38.46,100,19.23,0,42.31,35.2542,14.7939,25.6916
1UJ3,100,0,0,60.71,0,39.29,39.841,13.9027,51.6582
4XMP,23.08,56.25,20.51,40.62,56.41,3.12,29.6995,27.4728,30.6576
5TZ2,100,0,0,50,0,50,27.68,21.3829,17.1139
1LK3,0,66.67,50,33.33,50,0,31.0682,11.9759,23.4212
4QTI,100,40,0,40,0,20,36.2096,15.044,37.7531
4BZ2,63.16,43.48,36.84,39.13,0,17.39,16.2167,18.0927,24.4754
1IQD,56.25,60,0,16,43.75,24,31.4755,32.811,13.1738
5FHX,100,45.83,0,25,0,29.17,30.4493,21.5249,26.3985
4RGM,11.76,82.14,41.18,10.71,47.06,7.14,16.2639,18.9,21.6513
3JWD,0,60.61,100,0,0,39.39,66.5539,46.841,21.2089
2XRA,31.25,55.56,43.75,29.63,25,14.81,16.5108,15.4731,14.1077
4IJ3,0,62.07,55,13.79,45,24.14,41.3613,11.557,43.2013
5T5F,100,50,0,39.29,0,10.71,32.5726,37.594,24.3677
1AR1,0,63.33,28.57,36.67,71.43,0,25.8222,24.1687,49.3581
1TPX,11.11,65.22,72.22,4.35,16.67,30.43,20.097,15.6361,27.6967
4XNY,17.65,46.88,26.47,50,55.88,3.12,32.0668,28.0818,35.0309
4NZR,37.74,48.48,35.85,30.3,26.42,21.21,35.5427,22.9459,17.0328
4OII,76.19,15.38,0,61.54,23.81,23.08,21.604,13.17,16.5972
2YBR,46.15,30,53.85,45,0,25,11.689,12.9885,11.5393
4UTA,100,14.71,0,58.82,0,26.47,86.5919,88.8048,18.7831
1H0D,52.94,37.5,0,50,47.06,12.5,27.459,23.783,9.0887
5BV7,100,21.21,0,51.52,0,27.27,35.8606,58.18,43.3699
4I77,15.79,69.57,21.05,30.43,63.16,0,18.5129,14.8223,16.4015
5B3J,0,62.5,0,37.5,100,0,46.0679,20.344,47.253
2J4W,75,44.44,25,33.33,0,22.22,9.8072,12.712,16.6157
4MWF,33.33,48.15,8.33,29.63,58.33,22.22,17.0048,17.0121,11.6472
5L0Q,75,48.28,8.33,17.24,16.67,34.48,29.7656,28.1454,15.0766
1W72,0,67.74,53.33,32.26,46.67,0,47.4163,19.0797,43.619
5MES,0,52,83.33,36,16.67,12,14.1731,14.2452,17.8719
3G04,34.78,39.29,65.22,21.43,0,39.29,19.0866,21.437,20.7858
5DUM,100,14.81,0,48.15,0,37.04,21.5008,15.8149,25.3972
5KJR,47.06,31.25,0,37.5,52.94,31.25,27.802,32.0447,12.6123
4NNP,100,56.67,0,33.33,0,10,21.4379,30.1039,25.0159
3KS0,100,21.74,0,43.48,0,34.78,14.0711,14.8518,15.6829
4Z5R,71.43,24,0,52,28.57,24,17.9801,27.7621,13.3204
4ETQ,59.09,35.71,31.82,14.29,9.09,50,22.1051,19.3869,15.2729
4HKX,100,0,0,60.71,0,39.29,34.2199,27.7053,20.2756
5F3B,100,48,0,20,0,32,36.9875,25.1205,14.2192
4K2U,0,48.28,0,51.72,100,0,40.4449,25.161,37.531
5F9W,0,71.88,35.71,28.12,64.29,0,35.0028,24.2722,33.1254
1NSN,0,64,77.78,0,22.22,36,20.6958,17.0989,16.2653
2J88,0,61.29,100,22.58,0,16.13,51.0109,30.107,22.2855
4PP2,0,42.86,100,0,0,57.14,26.4374,23.7655,15.3251
3I50,100,64.52,0,19.35,0,16.13,88.0115,41.0726,49.4096
2CMR,52.94,25.93,17.65,33.33,29.41,40.74,20.1035,12.6719,12.9684
3NFP,0,70.83,40,20.83,60,8.33,24.4609,16.4581,20.9981
5IES,63.64,34.62,36.36,26.92,0,38.46,18.2395,15.4543,30.9438
1FSK,75,11.11,25,48.15,0,40.74,17.9824,17.0239,27.6256
4M48,0,45.71,0,54.29,100,0,34.1071,39.4243,20.4503
3CVH,0,74.19,88.24,0,11.76,25.81,51.8097,18.9699,49.4746
1JPS,100,0,0,67.86,0,32.14,37.999,14.947,49.3587
5H35,42.86,25.93,0,51.85,57.14,22.22,21.0821,33.5856,14.1471
4DN4,36.36,40,0,50,63.64,10,14.0827,18.3639,10.0127
3V6O,15.38,46.43,0,39.29,84.62,14.29,22.1659,32.9539,14.684
4O58,0,50,88.24,12.5,11.76,37.5,25.3701,15.242,16.4787
5D70,13.33,50,46.67,29.17,40,20.83,15.4777,12.2986,11.6133
1AHW,100,0,0,75,0,25,38.3897,15.2393,51.0945
1RJL,100,20.83,0,50,0,29.17,18.0344,14.6662,23.1708
4XWG,76.47,59.38,0,15.62,23.53,25,25.063,27.5657,13.43
4FFY,64,4.35,16,34.78,20,60.87,16.9177,21.6189,12.9282
3HMX,100,0,0,78.12,0,21.88,53.1911,33.0885,20.986
4JLR,41.67,34.78,0,34.78,58.33,30.43,26.0547,39.8112,14.3864
4YK4,100,3.57,0,57.14,0,39.29,31.7979,24.365,18.8572
4HCR,100,46.43,0,21.43,0,32.14,31.159,31.125,59.0652
4G6J,100,7.69,0,73.08,0,19.23,18.4805,24.242,23.9898
5D8J,77.78,44,0,8,22.22,48,35.8301,32.4686,13.3872
3UC0,0,58.33,100,0,0,41.67,19.3559,16.5282,14.4958
4G6M,0,80.77,57.89,11.54,42.11,7.69,19.9402,15.0134,23.1307
4HF5,100,0,0,50,0,50,87.1994,67.3798,29.4382
2NYY,0,76.6,0,23.4,100,0,74.4071,81.748,40.1594
3KR3,63.16,40,15.79,30,21.05,30,14.0128,12.5012,14.8808
4M62,33.33,36,46.67,36,20,28,16.2195,12.3195,16.5055
4HJ0,35.29,43.48,41.18,34.78,23.53,21.74,12.7746,13.73,16.5027
2QQN,58.33,44,0,36,41.67,20,27.1335,31.8928,12.787
5CBA,28.57,45,50,30,21.43,25,11.2285,18.0459,12.7003
4LF3,53.33,34.78,33.33,34.78,13.33,30.43,17.0712,11.5768,19.5886
2Q8A,100,38.71,0,25.81,0,35.48,37.6616,26.976,43.1034
1XIW,100,4.35,0,73.91,0,21.74,13.7204,17.0338,26.4262
4K3J,100,36.11,0,38.89,0,25,51.317,57.8932,20.9436
4K94,71.43,42.86,0,42.86,28.57,14.29,34.2353,53.3978,20.7746
4HC1,29.41,44.83,0,55.17,70.59,0,42.9636,61.2719,21.4703
3L5X,100,21.74,0,47.83,0,30.43,25.2088,16.6515,14.4523
3GJF,0,64.52,100,12.9,0,22.58,39.7741,25.4834,46.736
5UGY,100,15.62,0,53.12,0,31.25,68.9806,23.7847,90.8452
5FCU,35,26.09,5,47.83,60,26.09,21.186,20.8383,11.5947
3PNW,56.25,70,0,30,43.75,0,16.5761,16.3814,15.8209
5KVG,100,4.35,0,69.57,0,26.09,24.6374,33.5145,20.729
3WXV,100,28.12,0,34.38,0,37.5,20.1135,23.1094,30.9941
2DD8,0,64.29,57.89,10.71,42.11,25,23.4211,12.8553,21.7138
2ARJ,0,83.33,66.67,16.67,33.33,0,13.3671,16.1251,20.965
4DTG,70.59,20,29.41,50,0,30,13.1923,17.6612,10.9621
3EOA,0,46.15,85.71,11.54,14.29,42.31,25.1303,13.8352,26.2066
4U6V,56.25,30,18.75,36.67,25,33.33,13.3435,16.4331,11.9294
1C08,52.94,33.33,0,54.17,47.06,12.5,20.9125,16.5012,15.3215
5KVF,6.67,52.17,40,8.7,53.33,39.13,22.7851,16.6509,13.2569
4LQF,100,9.52,0,57.14,0,33.33,21.9906,13.0428,18.2683
4HWB,9.52,52,61.9,28,28.57,20,24.3003,13.0016,22.1947
4U0R,93.33,35.48,0,25.81,6.67,38.71,55.5397,68.2336,18.0195
1EZV,0,67.86,100,0,0,32.14,67.2152,94.0407,27.9212
2R56,85.71,42.31,0,23.08,14.29,34.62,19.8983,21.5749,13.7903
3L5W,0,56.52,100,13.04,0,30.43,27.2869,15.1017,18.5676
3U2S,35.71,56.52,0,26.09,64.29,17.39,20.6493,20.0838,15.5273
3VG9,100,0,0,59.38,0,40.62,39.1687,20.5545,35.8038
5E94.,100,33.33,0,37.5,0,29.17,28.5518,14.0508,20.7352
5K9K,100,16.67,0,38.89,0,44.44,47.3484,41.448,79.5278
3RKD,20,56,80,0,0,44,20.578,20.228,16.7846
1ZTX,46.67,43.48,0,56.52,53.33,0,27.5747,25.0669,12.8216
5K59,45.45,61.29,0,6.45,54.55,32.26,69.1125,66.7245,12.7017
1FJ1,100,48.39,0,35.48,0,16.13,55.4809,37.9839,25.776
3GI8,0,81.82,100,0,0,18.18,25.7355,40.8064,33.9365
3Q1S,66.67,50,33.33,20.83,0,29.17,13.5081,14.1136,21.0057
5C0N,0,56,66.67,40,33.33,4,12.3244,19.5698,27.1041
4OKV,0,66.67,100,9.52,0,23.81,37.6511,21.5462,16.3053
3U7Y,22.86,65.62,60,9.38,17.14,25,33.4926,28.2953,32.8969
1OSP,52.63,22.58,0,61.29,47.37,16.13,35.7292,50.8745,17.4654
