Protein,surface res,cutoff res,annotated res
5B3J,170,20,15 
4XWG,170,20,17 
4CMH,170,20,25 
5LQB,170,20,16 
4YUE,170,20,15 
2JEL,170,20,15 
5CBA,170,20,14 
3MA9,170,20,25 
3RKD,170,20,20 
1XIW,170,20,17 
1JHL,170,20,11 
1LK3,170,20,18 
4XVS,170,20,27 
5KVG,170,20,20 
4D3C,170,20,11 
1MLC,170,20,14 
4YDJ,170,20,26 
3Q3G,170,20,17 
3S35,170,20,18 
5EN2,170,20,21 
3UC0,170,20,16 
4AG4,170,20,17 
3PGF,170,20,23 
1SY6,170,20,11 
3IDX,170,20,16 
3WKM,170,20,24 
1UJ3,170,20,20 
4MWF,170,20,12 
3RVV,170,20,15 
4HC1,170,20,17 
4PP1,170,20,21 
1AHW,170,20,19 
4EDW,170,20,17 
2OZ4,170,20,18 
3KS0,170,20,10 
5IKC,170,20,13 
3GI8,170,20,16 
3S37,170,20,18 
3L5W,170,20,10 
5H35,170,20,21 
2NYY,170,20,23 
4DTG,170,20,17 
4AL8,170,20,11 
4YQX,170,20,14 
2XQY,170,20,19 
2XQB,170,20,22 
4OT1,170,20,13 
1N8Z,170,20,17 
5D8J,170,20,18 
1BQL,170,20,13 
5HYS,170,20,13 
4AEI,170,20,15 
5KVF,170,20,15 
4ZPT,170,20,16 
4LF3,170,20,15 
3GRW,170,20,33 
3PNW,170,20,16 
3MXW,170,20,21 
5KVD,170,20,20 
4UTA,170,20,3 
3G04,170,20,23 
1AR1,170,20,14 
3B9K,170,20,19 
4QTI,170,20,12 
2YPV,170,20,19 
1NCA,170,20,21 
4G6M,170,20,19 
3NH7,170,20,21 
1NSN,170,20,18 
