Protein,surface res,cutoff res,annotated res
5FB8.A_1I16.A,112,25,19
4RWY.A_3TGQ.A,259,32,32
4I77.A_1IK0.A,101,24,19
1FE8.A_1ATZ.A,127,26,19
3GJF.A_6APN.A,300,34,14
3ZKM.A_6UJ1.A,253,32,23
4ETQ.A_4E9O.X,166,28,22
4L5F.A_3IRC.A,87,23,13
4RGM.A_1SE3.A,174,29,17
3WKM.A_3WKL.A,149,27,24
