protein,ispred_percentage_of_annotated_1,ispred_percentage_of_predicted_1,ispred_percentage_of_annotated_2,ispred_percentage_of_predicted_2,ispred_dis_total_1_2,dockpred_percentage_of_annotated_1,dockpred_percentage_of_predicted_1,dockpred_percentage_of_annotated_2,dockpred_percentage_of_predicted_2,dockpred_dis_total_1_2,vorffip_percentage_of_annotated_1,vorffip_percentage_of_predicted_1,vorffip_percentage_of_annotated_2,vorffip_percentage_of_predicted_2,vorffip_dis_total_1_2,metappisp_percentage_of_annotated_1,metappisp_percentage_of_predicted_1,metappisp_percentage_of_annotated_2,metappisp_percentage_of_predicted_2,metappisp_dis_total_1_2
4IJ3,20.0,51.72,80.0,48.28,23.8717,100.0,34.48,0.0,65.52,38.5854,100.0,41.38,0.0,58.62,36.869,80.0,48.28,20.0,51.72,11.7005
4K94,100.0,37.84,0.0,62.16,84.99,100.0,67.57,0.0,32.43,72.1642,100.0,81.08,0.0,18.92,123.5869,100.0,0.0,0.0,100.0,47.5478
1HYS,100.0,71.05,0.0,28.95,49.6263,100.0,55.26,0.0,44.74,44.8269,100.0,76.32,0.0,23.68,44.8662,100.0,78.95,0.0,21.05,42.2877
5KVG,100.0,40.0,0.0,60.0,27.4333,0.0,68.0,100.0,32.0,26.8588,0.0,88.0,100.0,12.0,24.4587,0.0,100.0,100.0,0.0,25.9993
3GI8,0.0,54.55,100.0,45.45,32.4819,0.0,100.0,100.0,0.0,26.2622,100.0,63.64,0.0,36.36,32.9352,0.0,100.0,100.0,0.0,31.714
4O58,100.0,66.67,0.0,33.33,75.8793,100.0,61.11,0.0,38.89,45.6445,0.0,69.44,100.0,30.56,48.8143,0.0,75.0,100.0,25.0,41.97
5TZT,100.0,70.83,0.0,29.17,39.3922,100.0,70.83,0.0,29.17,57.0916,75.0,54.17,25.0,45.83,39.2397,100.0,62.5,0.0,37.5,33.8791
4YK4,100.0,53.57,0.0,46.43,35.9146,0.0,82.14,100.0,17.86,30.8981,100.0,46.43,0.0,53.57,30.853,0.0,100.0,100.0,0.0,34.1193
3LEV,100.0,62.96,0.0,37.04,17.8428,100.0,70.37,0.0,29.63,21.8945,100.0,51.85,0.0,48.15,21.57,66.67,59.26,33.33,40.74,14.535
5BV7,100.0,60.61,0.0,39.39,26.9794,0.0,96.97,100.0,3.03,34.7621,100.0,45.45,0.0,54.55,31.6725,0.0,100.0,100.0,0.0,36.1685
5H35,100.0,51.85,0.0,48.15,27.7432,9.52,74.07,90.48,25.93,24.9981,100.0,74.07,0.0,25.93,31.5563,100.0,70.37,0.0,29.63,31.5507
5T5F,0.0,77.42,100.0,22.58,38.9243,100.0,67.74,0.0,32.26,30.2534,100.0,67.74,0.0,32.26,38.4024,100.0,87.1,0.0,12.9,48.7458
1C08,82.35,50.0,17.65,50.0,19.0407,47.06,54.17,52.94,45.83,15.6874,94.12,33.33,5.88,66.67,19.2802,76.47,58.33,23.53,41.67,14.7072
5KJR,0.0,53.12,100.0,46.88,30.4435,100.0,68.75,0.0,31.25,33.3317,100.0,46.88,0.0,53.12,33.9686,0.0,100.0,100.0,0.0,27.9817
4K2U,0.0,50.0,100.0,50.0,63.9775,100.0,57.89,0.0,42.11,45.0644,0.0,86.84,100.0,13.16,48.7257,100.0,73.68,0.0,26.32,73.6034
4KI5,0.0,82.61,100.0,17.39,41.5232,100.0,45.65,0.0,54.35,48.2619,100.0,78.26,0.0,21.74,76.9791,100.0,54.35,0.0,45.65,48.275
5L6Y,9.09,66.67,90.91,33.33,18.0614,100.0,70.83,0.0,29.17,23.7964,100.0,41.67,0.0,58.33,24.6778,0.0,83.33,100.0,16.67,20.52
4RWY,65.62,84.38,34.38,15.62,27.6411,100.0,28.12,0.0,71.88,27.4583,50.0,93.75,50.0,6.25,24.9248,37.5,100.0,62.5,0.0,27.175
5IKC,100.0,62.5,0.0,37.5,37.0483,100.0,58.33,0.0,41.67,19.9308,0.0,79.17,100.0,20.83,33.5558,84.62,50.0,15.38,50.0,11.0262
5K9K,0.0,80.56,100.0,19.44,44.4493,0.0,86.11,100.0,13.89,39.074,0.0,72.22,100.0,27.78,55.4963,0.0,100.0,100.0,0.0,45.3111
4BZ1,100.0,69.57,0.0,30.43,21.4831,100.0,39.13,0.0,60.87,13.5122,100.0,43.48,0.0,56.52,13.7476,100.0,52.17,0.0,47.83,13.7318
4Y5V,36.36,53.57,63.64,46.43,20.1961,36.36,78.57,63.64,21.43,17.9047,36.36,42.86,63.64,57.14,22.1974,100.0,3.57,0.0,96.43,40.7273
3L5W,0.0,54.17,100.0,45.83,17.6646,90.0,62.5,10.0,37.5,21.6931,100.0,41.67,0.0,58.33,25.473,0.0,95.83,100.0,4.17,22.4418
5F3B,0.0,69.7,100.0,30.3,37.9353,100.0,33.33,0.0,66.67,55.2874,0.0,96.97,100.0,3.03,41.9891,0.0,100.0,100.0,0.0,39.2105
1MLC,100.0,50.0,0.0,50.0,22.5522,0.0,75.0,100.0,25.0,21.6338,100.0,33.33,0.0,66.67,26.5005,0.0,54.17,100.0,45.83,17.7047
4HKX,100.0,53.57,0.0,46.43,35.5291,0.0,82.14,100.0,17.86,31.5205,100.0,46.43,0.0,53.57,31.4948,0.0,100.0,100.0,0.0,34.2047
2J4W,0.0,72.73,100.0,27.27,52.9864,0.0,100.0,100.0,0.0,56.4411,0.0,90.91,100.0,9.09,57.2068,0.0,100.0,100.0,0.0,61.6485
3SE9,0.0,71.88,100.0,28.12,29.4757,100.0,34.38,0.0,65.62,31.989,100.0,50.0,0.0,50.0,32.7131,88.89,12.5,11.11,87.5,26.9471
5C0N,100.0,73.08,0.0,26.92,24.1185,100.0,84.62,0.0,15.38,27.5406,100.0,53.85,0.0,46.15,28.246,0.0,100.0,100.0,0.0,23.7499
5DUR,75.0,53.57,25.0,46.43,24.982,43.75,67.86,56.25,32.14,18.5151,75.0,67.86,25.0,32.14,21.0528,50.0,46.43,50.0,53.57,17.9401
4YDK,100.0,59.38,0.0,40.62,30.5414,100.0,34.38,0.0,65.62,31.4678,100.0,50.0,0.0,50.0,32.688,30.3,87.5,69.7,12.5,22.5837
4NNP,0.0,50.0,100.0,50.0,36.4368,0.0,70.0,100.0,30.0,22.4489,100.0,46.67,0.0,53.33,28.4335,15.38,100.0,84.62,0.0,25.8813
5KVD,100.0,64.0,0.0,36.0,24.2102,95.0,44.0,5.0,56.0,20.5479,5.0,68.0,95.0,32.0,19.0605,5.0,100.0,95.0,0.0,19.9424
1NSN,38.89,56.0,61.11,44.0,16.7718,22.22,100.0,77.78,0.0,18.1922,27.78,92.0,72.22,8.0,17.3207,27.78,100.0,72.22,0.0,18.9885
3U7Y,40.0,87.5,60.0,12.5,24.7292,80.0,34.38,20.0,65.62,28.8145,80.0,50.0,20.0,50.0,28.5309,80.0,12.5,20.0,87.5,26.1476
3NGB,25.0,87.5,75.0,12.5,29.947,100.0,34.38,0.0,65.62,32.952,100.0,50.0,0.0,50.0,33.5478,87.5,12.5,12.5,87.5,28.5155
5MES,100.0,64.0,0.0,36.0,24.1124,100.0,56.0,0.0,44.0,14.8103,100.0,64.0,0.0,36.0,26.0127,100.0,56.0,0.0,44.0,14.5517
3U9P,100.0,61.54,0.0,38.46,24.2863,100.0,42.31,0.0,57.69,20.6516,100.0,53.85,0.0,46.15,22.5653,100.0,19.23,0.0,80.77,22.0502
3T2N,0.0,68.75,100.0,31.25,28.3272,100.0,81.25,0.0,18.75,39.4359,5.0,75.0,95.0,25.0,17.1336,70.0,21.88,30.0,78.12,14.1411
1A14,100.0,75.0,0.0,25.0,31.0875,100.0,71.88,0.0,28.12,29.7829,100.0,40.62,0.0,59.38,26.9798,100.0,46.88,0.0,53.12,26.0315
1FNS,100.0,59.26,0.0,40.74,34.3315,100.0,70.37,0.0,29.63,33.1902,0.0,66.67,100.0,33.33,36.8301,100.0,88.89,0.0,11.11,33.218
2JEL,6.67,52.38,93.33,47.62,16.3781,6.67,66.67,93.33,33.33,18.7513,6.67,57.14,93.33,42.86,17.0836,6.67,100.0,93.33,0.0,18.1864
1EO8,100.0,80.56,0.0,19.44,56.4063,100.0,55.56,0.0,44.44,39.3313,0.0,47.22,100.0,52.78,49.1778,0.0,100.0,100.0,0.0,25.9425
3MXW,71.43,69.23,28.57,30.77,16.6703,100.0,38.46,0.0,61.54,33.0629,100.0,34.62,0.0,65.38,31.3551,0.0,100.0,100.0,0.0,28.7574
4CMH,100.0,63.33,0.0,36.67,32.9989,100.0,33.33,0.0,66.67,33.5537,100.0,46.67,0.0,53.33,33.5355,100.0,10.0,0.0,90.0,28.8746
3IU3,95.0,60.0,5.0,40.0,34.6062,100.0,56.67,0.0,43.33,27.9358,100.0,46.67,0.0,53.33,31.6453,100.0,16.67,0.0,83.33,30.4419
3HI6,100.0,59.26,0.0,40.74,28.9782,0.0,81.48,100.0,18.52,26.4537,100.0,33.33,0.0,66.67,29.2115,0.0,100.0,100.0,0.0,28.2958
5CZX,100.0,72.41,0.0,27.59,28.5446,100.0,51.72,0.0,48.28,30.0066,0.0,79.31,100.0,20.69,26.2965,78.57,65.52,21.43,34.48,26.4365
2QQN,0.0,78.12,100.0,21.88,43.0213,100.0,62.5,0.0,37.5,47.3944,100.0,46.88,0.0,53.12,40.225,0.0,100.0,100.0,0.0,46.1663
3LD8,100.0,46.88,0.0,53.12,30.7574,0.0,56.25,100.0,43.75,28.9407,100.0,62.5,0.0,37.5,43.1007,100.0,43.75,0.0,56.25,47.1482
4BZ2,100.0,69.57,0.0,30.43,21.5842,38.89,78.26,61.11,21.74,14.1532,50.0,26.09,50.0,73.91,13.6756,61.11,52.17,38.89,47.83,13.9797
4QTI,100.0,67.74,0.0,32.26,32.317,0.0,70.97,100.0,29.03,27.93,0.0,58.06,100.0,41.94,33.564,0.0,100.0,100.0,0.0,37.0164
3RKD,0.0,36.11,100.0,63.89,57.5353,100.0,66.67,0.0,33.33,27.7596,0.0,52.78,100.0,47.22,57.8364,0.0,41.67,100.0,58.33,48.8464
2UZI,83.33,80.77,16.67,19.23,17.4505,100.0,53.85,0.0,46.15,21.6154,0.0,69.23,100.0,30.77,26.2354,66.67,61.54,33.33,38.46,12.847
3VG9,100.0,68.75,0.0,31.25,34.2142,0.0,90.62,100.0,9.38,35.0772,100.0,46.88,0.0,53.12,38.6942,100.0,34.38,0.0,65.62,35.2307
4HC1,0.0,96.55,100.0,3.45,47.9929,94.12,48.28,5.88,51.72,23.7704,100.0,37.93,0.0,62.07,51.3784,100.0,6.9,0.0,93.1,57.8585
1RJL,100.0,73.08,0.0,26.92,32.1639,100.0,57.69,0.0,42.31,27.7576,0.0,88.46,100.0,11.54,25.8543,100.0,42.31,0.0,57.69,28.081
2EIZ,77.78,50.0,22.22,50.0,18.9282,50.0,62.5,50.0,37.5,16.3486,94.44,33.33,5.56,66.67,19.4297,55.56,54.17,44.44,45.83,13.5654
1E6J,0.0,50.0,100.0,50.0,52.6946,100.0,63.33,0.0,36.67,27.549,0.0,76.67,100.0,23.33,48.9383,0.0,100.0,100.0,0.0,53.5115
1BQL,0.0,95.83,100.0,4.17,23.064,0.0,75.0,100.0,25.0,20.8581,0.0,70.83,100.0,29.17,26.2751,100.0,70.83,0.0,29.17,14.218
3RVV,60.0,53.57,40.0,46.43,16.3967,0.0,100.0,100.0,0.0,23.4436,100.0,35.71,0.0,64.29,19.229,0.0,100.0,100.0,0.0,23.308
4LQF,0.0,72.73,100.0,27.27,20.6614,0.0,86.36,100.0,13.64,19.9822,0.0,81.82,100.0,18.18,21.0706,0.0,90.91,100.0,9.09,21.8979
2R56,100.0,38.46,0.0,61.54,22.8411,100.0,57.69,0.0,42.31,18.1638,0.0,80.77,100.0,19.23,20.5006,66.67,38.46,33.33,61.54,17.9609
5FHX,100.0,50.0,0.0,50.0,28.6203,0.0,58.33,100.0,41.67,26.4333,100.0,41.67,0.0,58.33,24.7208,0.0,100.0,100.0,0.0,26.8298
5C7X,91.3,66.67,8.7,33.33,17.5791,43.48,54.17,56.52,45.83,11.8709,43.48,54.17,56.52,45.83,15.5483,39.13,70.83,60.87,29.17,12.208
2YBR,7.69,50.0,92.31,50.0,17.7648,23.08,50.0,76.92,50.0,10.9179,23.08,55.0,76.92,45.0,13.4783,76.92,75.0,23.08,25.0,11.1884
5D8J,100.0,73.08,0.0,26.92,25.4861,100.0,84.62,0.0,15.38,27.9985,100.0,53.85,0.0,46.15,29.3355,0.0,100.0,100.0,0.0,28.2196
4ZS7,30.0,65.38,70.0,34.62,20.201,60.0,53.85,40.0,46.15,20.4146,60.0,57.69,40.0,42.31,19.7526,45.0,100.0,55.0,0.0,21.9084
5D70,100.0,66.67,0.0,33.33,20.2731,60.0,62.5,40.0,37.5,11.7885,100.0,62.5,0.0,37.5,19.6851,66.67,50.0,33.33,50.0,12.3193
4ZSO,94.12,51.72,5.88,48.28,31.7719,100.0,62.07,0.0,37.93,21.4178,94.12,79.31,5.88,20.69,33.4027,100.0,24.14,0.0,75.86,25.8338
4XWG,94.12,57.58,5.88,42.42,27.495,100.0,66.67,0.0,33.33,26.3295,100.0,54.55,0.0,45.45,29.7317,64.71,54.55,35.29,45.45,13.9545
2ADF,93.33,61.54,6.67,38.46,19.1843,100.0,61.54,0.0,38.46,24.5349,53.33,69.23,46.67,30.77,18.2165,40.0,61.54,60.0,38.46,15.0371
3HMX,0.0,68.75,100.0,31.25,57.1373,0.0,87.5,100.0,12.5,52.0123,0.0,75.0,100.0,25.0,56.1167,100.0,50.0,0.0,50.0,51.2557
5F9W,39.29,87.5,60.71,12.5,26.3092,100.0,34.38,0.0,65.62,30.7099,100.0,50.0,0.0,50.0,31.6152,89.29,12.5,10.71,87.5,25.7207
4AEI,80.0,50.0,20.0,50.0,13.0384,6.67,75.0,93.33,25.0,12.7841,93.33,40.0,6.67,60.0,13.3233,93.33,50.0,6.67,50.0,14.0467
4LSU,100.0,59.38,0.0,40.62,31.5347,100.0,34.38,0.0,65.62,32.2356,100.0,50.0,0.0,50.0,33.1842,74.29,12.5,25.71,87.5,26.0949
4Z5R,76.19,53.85,23.81,46.15,17.7683,100.0,30.77,0.0,69.23,23.8525,23.81,57.69,76.19,42.31,15.6962,38.1,53.85,61.9,46.15,15.8602
2DD8,100.0,65.22,0.0,34.78,87.8358,100.0,80.43,0.0,19.57,111.2616,100.0,67.39,0.0,32.61,99.9977,0.0,76.09,100.0,23.91,99.1312
4I77,68.42,54.17,31.58,45.83,15.6087,100.0,33.33,0.0,66.67,18.7518,36.84,45.83,63.16,54.17,18.7961,100.0,29.17,0.0,70.83,15.02
5SY8,100.0,56.0,0.0,44.0,20.2533,58.33,56.0,41.67,44.0,14.023,100.0,60.0,0.0,40.0,17.2791,58.33,68.0,41.67,32.0,13.5503
3I50,0.0,64.71,100.0,35.29,74.6043,0.0,47.06,100.0,52.94,64.7127,0.0,70.59,100.0,29.41,73.6543,0.0,32.35,100.0,67.65,89.6169
1A2Y,100.0,50.0,0.0,50.0,24.9443,100.0,75.0,0.0,25.0,23.4656,100.0,66.67,0.0,33.33,26.7197,100.0,54.17,0.0,45.83,20.8345
3Q3G,100.0,76.92,0.0,23.08,29.2124,100.0,61.54,0.0,38.46,29.1874,23.53,42.31,76.47,57.69,18.786,58.82,65.38,41.18,34.62,12.6078
4DTG,52.94,42.86,47.06,57.14,13.2952,52.94,52.38,47.06,47.62,12.2902,82.35,61.9,17.65,38.1,13.0858,41.18,100.0,58.82,0.0,12.7242
5GGT,100.0,58.33,0.0,41.67,36.1319,100.0,75.0,0.0,25.0,37.1117,100.0,58.33,0.0,41.67,34.6248,0.0,100.0,100.0,0.0,33.308
1OB1,100.0,65.22,0.0,34.78,23.2312,76.92,73.91,23.08,26.09,16.0844,76.92,52.17,23.08,47.83,15.6942,100.0,34.78,0.0,65.22,14.316
1JPS,0.0,51.72,100.0,48.28,36.0949,0.0,100.0,100.0,0.0,44.2025,100.0,34.48,0.0,65.52,44.0458,0.0,100.0,100.0,0.0,45.8479
1UJ3,0.0,51.72,100.0,48.28,36.2731,0.0,100.0,100.0,0.0,44.495,100.0,34.48,0.0,65.52,44.2101,0.0,100.0,100.0,0.0,46.2825
4GMS,100.0,66.67,0.0,33.33,77.842,100.0,61.11,0.0,38.89,46.2689,0.0,69.44,100.0,30.56,49.7301,0.0,75.0,100.0,25.0,42.9111
5HYS,0.0,93.1,100.0,6.9,34.9217,0.0,100.0,100.0,0.0,37.7471,0.0,75.86,100.0,24.14,36.0243,100.0,72.41,0.0,27.59,41.1371
4D3C,0.0,55.56,100.0,44.44,25.1159,0.0,33.33,100.0,66.67,25.2003,0.0,66.67,100.0,33.33,28.3993,63.64,81.48,36.36,18.52,13.1643
1TPX,100.0,77.78,0.0,22.22,32.7647,100.0,55.56,0.0,44.44,21.7402,0.0,37.04,100.0,62.96,29.9823,27.78,100.0,72.22,0.0,21.0578
1QFU,100.0,80.56,0.0,19.44,56.5319,100.0,55.56,0.0,44.44,38.9289,100.0,52.78,0.0,47.22,48.1614,0.0,100.0,100.0,0.0,25.5392
5KVE,75.0,64.0,25.0,36.0,21.9509,75.0,68.0,25.0,32.0,21.0008,6.25,64.0,93.75,36.0,15.5558,81.25,72.0,18.75,28.0,13.549
4HCR,0.0,78.57,100.0,21.43,51.526,100.0,57.14,0.0,42.86,23.489,100.0,67.86,0.0,32.14,50.3124,100.0,25.0,0.0,75.0,60.149
5F3H,0.0,69.7,100.0,30.3,37.9353,100.0,33.33,0.0,66.67,55.2874,0.0,96.97,100.0,3.03,41.9891,0.0,100.0,100.0,0.0,39.2105
5JHL,0.0,85.29,100.0,14.71,89.717,0.0,52.94,100.0,47.06,92.6118,100.0,26.47,0.0,73.53,91.7218,100.0,79.41,0.0,20.59,80.6741
1BVK,100.0,50.0,0.0,50.0,25.2485,100.0,75.0,0.0,25.0,23.7573,100.0,66.67,0.0,33.33,26.7546,100.0,54.17,0.0,45.83,21.1662
4JPW,100.0,53.12,0.0,46.88,32.7227,100.0,31.25,0.0,68.75,32.009,100.0,53.12,0.0,46.88,34.8743,76.67,9.38,23.33,90.62,24.7649
2VXQ,66.67,69.57,33.33,30.43,17.1735,100.0,39.13,0.0,60.87,17.1402,46.67,34.78,53.33,65.22,12.7138,0.0,69.57,100.0,30.43,13.1035
4PP2,100.0,89.29,0.0,10.71,34.1356,0.0,100.0,100.0,0.0,23.8975,0.0,85.71,100.0,14.29,20.5698,0.0,100.0,100.0,0.0,23.259
5CBA,100.0,45.45,0.0,54.55,19.5095,78.57,40.91,21.43,59.09,14.4958,100.0,59.09,0.0,40.91,21.5593,21.43,100.0,78.57,0.0,18.1331
4OGX,13.79,86.21,86.21,13.79,18.9563,93.1,44.83,6.9,55.17,20.0051,100.0,55.17,0.0,44.83,25.0263,51.72,75.86,48.28,24.14,14.8977
5MVZ,94.44,57.69,5.56,42.31,16.3969,100.0,26.92,0.0,73.08,20.6671,0.0,96.15,100.0,3.85,17.949,22.22,76.92,77.78,23.08,13.6289
4JR9,100.0,54.55,0.0,45.45,36.5204,0.0,100.0,100.0,0.0,29.763,0.0,72.73,100.0,27.27,32.9194,100.0,54.55,0.0,45.45,40.6941
4DN4,100.0,71.43,0.0,28.57,19.9067,100.0,28.57,0.0,71.43,19.3535,100.0,38.1,0.0,61.9,22.2256,0.0,76.19,100.0,23.81,18.8249
5UGY,100.0,53.57,0.0,46.43,34.7724,0.0,82.14,100.0,17.86,31.2131,100.0,46.43,0.0,53.57,31.2249,100.0,0.0,0.0,100.0,33.3427
4TSA,100.0,50.0,0.0,50.0,21.6209,100.0,75.0,0.0,25.0,20.4669,100.0,66.67,0.0,33.33,24.3837,100.0,54.17,0.0,45.83,17.5751
4G6J,71.43,57.69,28.57,42.31,17.6352,100.0,23.08,0.0,76.92,19.1608,28.57,69.23,71.43,30.77,19.2735,28.57,30.77,71.43,69.23,16.1855
3L5X,0.0,54.17,100.0,45.83,17.6646,90.0,62.5,10.0,37.5,21.6931,100.0,41.67,0.0,58.33,25.473,0.0,95.83,100.0,4.17,22.4418
5E8E,0.0,62.16,100.0,37.84,63.5112,100.0,48.65,0.0,51.35,70.4515,100.0,48.65,0.0,51.35,74.672,100.0,40.54,0.0,59.46,66.3816
4Y5Y,57.14,57.14,42.86,42.86,19.5376,52.38,78.57,47.62,21.43,16.722,100.0,89.29,0.0,10.71,42.1054,100.0,3.57,0.0,96.43,39.0974
1FBI,20.0,87.5,80.0,12.5,19.2484,100.0,50.0,0.0,50.0,19.1707,66.67,70.83,33.33,29.17,23.9049,66.67,37.5,33.33,62.5,17.4115
1NCA,100.0,68.75,0.0,31.25,30.8131,100.0,50.0,0.0,50.0,25.0936,100.0,53.12,0.0,46.88,26.1981,100.0,56.25,0.0,43.75,23.819
4YPG,100.0,57.69,0.0,42.31,18.6717,100.0,69.23,0.0,30.77,20.4648,17.39,73.08,82.61,26.92,18.1404,0.0,100.0,100.0,0.0,20.3105
1IQD,100.0,80.77,0.0,19.23,31.3195,100.0,76.92,0.0,23.08,31.4472,100.0,65.38,0.0,34.62,29.5811,100.0,38.46,0.0,61.54,30.466
4RGM,35.29,48.28,64.71,51.72,21.5636,100.0,51.72,0.0,48.28,20.8997,100.0,55.17,0.0,44.83,20.1517,100.0,27.59,0.0,72.41,23.0255
1FSK,18.75,48.15,81.25,51.85,13.4476,6.25,96.3,93.75,3.7,19.4812,87.5,51.85,12.5,48.15,20.0455,100.0,48.15,0.0,51.85,20.9353
3KS0,0.0,100.0,100.0,0.0,44.7474,0.0,100.0,100.0,0.0,46.1204,0.0,100.0,100.0,0.0,49.6107,0.0,91.67,100.0,8.33,48.676
5TZ2,100.0,70.83,0.0,29.17,41.5351,100.0,70.83,0.0,29.17,56.6611,100.0,62.5,0.0,37.5,43.7158,100.0,50.0,0.0,50.0,34.7152
5F96,0.0,71.88,100.0,28.12,29.4596,100.0,34.38,0.0,65.62,31.6905,100.0,50.0,0.0,50.0,32.4122,95.65,12.5,4.35,87.5,26.6392
3PGF,0.0,100.0,100.0,0.0,52.4908,0.0,63.16,100.0,36.84,57.8813,0.0,81.58,100.0,18.42,60.2182,0.0,100.0,100.0,0.0,63.9528
4PP1,0.0,85.71,100.0,14.29,26.1091,0.0,100.0,100.0,0.0,23.7014,0.0,96.43,100.0,3.57,24.3418,0.0,100.0,100.0,0.0,25.84
1FE8,0.0,73.08,100.0,26.92,21.8113,100.0,61.54,0.0,38.46,25.9601,100.0,76.92,0.0,23.08,26.1835,100.0,69.23,0.0,30.77,17.4444
5HDQ,0.0,63.33,100.0,36.67,32.156,100.0,60.0,0.0,40.0,28.125,0.0,70.0,100.0,30.0,29.446,7.14,90.0,92.86,10.0,22.2779
1WEJ,0.0,54.17,100.0,45.83,16.232,100.0,58.33,0.0,41.67,16.6634,100.0,54.17,0.0,45.83,18.2649,0.0,100.0,100.0,0.0,17.8028
