,ispred_fscore,ispred_mcc,sppider_fscore,sppider_mcc,dockpred_fscore,dockpred_mcc,logisticregresion_fscore,logisticregresion_mcc,linearregression_fscore,linearregression_mcc,randomforest_fscore,randomforest_mcc,xgboost_fscore,xgboost_mcc
5D8J,0.3157894736842105,0.2569951740823651,0.0,-0.13101714757140182,0.05263157894736842,-0.066348427295774,0.05263157894736842,-0.066348427295774,0.0,-0.13101714757140182,0.0,-0.13101714757140182,0.15789473684210525,0.06298901325548165
4LQF,0.15384615384615383,-0.05184518715056446,0.05128205128205128,-0.18246812620523334,0.15384615384615383,-0.05184518715056446,0.0,-0.24777959573256778,0.0,-0.24777959573256778,0.10256410256410256,-0.1171566566778989,0.15384615384615383,-0.05184518715056446
4DN4,0.29268292682926833,0.22807671281880035,0.04878048780487805,-0.0617707763884251,0.14634146341463417,0.05416821929446509,0.14634146341463417,0.05416821929446509,0.14634146341463417,0.05416821929446509,0.14634146341463417,0.05416821929446509,0.14634146341463417,0.05416821929446509
5KVD,0.041666666666666664,-0.006815079925275867,0.0,-0.054410718758250876,0.0,-0.054410718758250876,0.0,-0.054410718758250876,0.0,-0.054410718758250876,0.0,-0.054410718758250876,0.0,-0.054410718758250876
2YPV,0.35,0.07457822756302887,0.5500000000000002,0.3601062988043394,0.5500000000000002,0.3601062988043394,0.6,0.4314883166146671,0.6,0.4314883166146671,0.5500000000000002,0.3601062988043394,0.5500000000000002,0.3601062988043394
4UTA,0.48484848484848486,0.4389453412511892,0.48484848484848486,0.4389453412511892,0.18181818181818182,0.03148553080704733,0.48484848484848486,0.4389453412511892,0.48484848484848486,0.4389453412511892,0.48484848484848486,0.4389453412511892,0.42424242424242425,0.35745337916236086
4Y5V,0.35294117647058826,0.2952941708227841,0.11764705882352941,-0.009438626464655198,0.4117647058823529,0.3714773701446439,0.23529411764705882,0.14292777217906444,0.29411764705882354,0.21911097150092423,0.23529411764705882,0.14292777217906444,0.17647058823529413,0.06674457285720461
3EOA,0.0,-0.08247157215992368,0.0,-0.08247157215992368,0.0,-0.08247157215992368,0.0,-0.08247157215992368,0.0,-0.08247157215992368,0.0,-0.08247157215992368,0.0,-0.08247157215992368
4BZ1,0.22222222222222224,0.0033623751814933467,0.044444444444444446,-0.2252791371600542,0.0,-0.28243951524544114,0.0,-0.28243951524544114,0.0,-0.28243951524544114,0.0,-0.28243951524544114,0.044444444444444446,-0.2252791371600542
4NNP,0.0,-0.04269346568870972,0.0,-0.04269346568870972,0.2950819672131147,0.275162805748858,0.19672131147540983,0.16921071526966874,0.22950819672131145,0.20452807876273182,0.0,-0.04269346568870972,0.0,-0.04269346568870972
4G6J,0.13793103448275862,0.04393428890448207,0.13793103448275862,0.04393428890448207,0.0,-0.11010038665219603,0.0,-0.11010038665219603,0.0,-0.11010038665219603,0.0,-0.11010038665219603,0.034482758620689655,-0.0715917177630265
5UGY,0.07272727272727272,-0.00021716481569003456,0.14545454545454545,0.07948232254255265,0.3272727272727273,0.27873104093815937,0.2909090909090909,0.238881297259038,0.3272727272727273,0.27873104093815937,0.2909090909090909,0.238881297259038,0.18181818181818182,0.11933206622167399
5F96,0.5142857142857143,0.34318166459837574,0.4571428571428572,0.26360330759005673,0.28571428571428575,0.02486823656509969,0.34285714285714286,0.10444659357341869,0.34285714285714286,0.10444659357341869,0.28571428571428575,0.02486823656509969,0.28571428571428575,0.02486823656509969
1UJ3,0.2926829268292683,0.1079890462789148,0.2926829268292683,0.1079890462789148,0.4390243902439025,0.2950415014406065,0.3902439024390244,0.23269068305337595,0.3902439024390244,0.23269068305337595,0.2926829268292683,0.1079890462789148,0.34146341463414637,0.17033986466614537
1AHW,0.1090909090909091,-0.0004945891176555817,0.1090909090909091,-0.0004945891176555817,0.0,-0.12364727941389542,0.03636363636363636,-0.08259638264848214,0.03636363636363636,-0.08259638264848214,0.0,-0.12364727941389542,0.03636363636363636,-0.08259638264848214
2ADF,0.28571428571428575,0.18266339873353113,0.4,0.3310774102045252,0.17142857142857143,0.03424938726253709,0.4571428571428572,0.4052844159400222,0.4,0.3310774102045252,0.4571428571428572,0.4052844159400222,0.4,0.3310774102045252
4O9H,0.0,-0.058357285367106965,0.0,-0.058357285367106965,0.0,-0.058357285367106965,0.0,-0.058357285367106965,0.0,-0.058357285367106965,0.0,-0.058357285367106965,0.04651162790697675,0.0005305207760646088
4YDJ,0.2916666666666667,0.07976299510425998,0.16666666666666666,-0.0828909556965839,0.20833333333333331,-0.028672972096302606,0.20833333333333331,-0.028672972096302606,0.20833333333333331,-0.028672972096302606,0.20833333333333331,-0.028672972096302606,0.20833333333333331,-0.028672972096302606
1FE8,0.0,-0.1716929178792376,0.13333333333333333,-0.013207147529172122,0.0,-0.1716929178792376,0.08888888888888889,-0.06603573764586061,0.044444444444444446,-0.1188643277625491,0.044444444444444446,-0.1188643277625491,0.17777777777777778,0.03962144258751637
4JPW,0.0,-0.07832557573750172,0.0,-0.07832557573750172,0.20833333333333334,0.16108756103826036,0.0,-0.07832557573750172,0.0,-0.07832557573750172,0.0,-0.07832557573750172,0.041666666666666664,-0.0304429483823493
4I77,0.2127659574468085,0.1224764759318462,0.0425531914893617,-0.07239315863629571,0.0,-0.1211105672783312,0.0,-0.1211105672783312,0.0,-0.1211105672783312,0.0,-0.1211105672783312,0.0425531914893617,-0.07239315863629571
1JPS,0.13953488372093023,-0.05990243965090405,0.04651162790697675,-0.1756114256432486,0.0,-0.2334659186394209,0.0,-0.2334659186394209,0.0,-0.2334659186394209,0.0,-0.2334659186394209,0.04651162790697675,-0.1756114256432486
4ZS7,0.0,-0.04581544017109245,0.0,-0.04581544017109245,0.0,-0.04581544017109245,0.0,-0.04581544017109245,0.0,-0.04581544017109245,0.0,-0.04581544017109245,0.0,-0.04581544017109245
4ZPT,0.3913043478260869,0.28997385096289335,0.043478260869565216,-0.12255245895198495,0.2173913043478261,0.08371069600545421,0.2173913043478261,0.08371069600545421,0.2173913043478261,0.08371069600545421,0.17391304347826086,0.03214490726609441,0.3043478260869565,0.1868422734841738
3HI6,0.05555555555555555,-0.13135173437318343,0.0,-0.20140599270554793,0.0,-0.20140599270554793,0.0,-0.20140599270554793,0.0,-0.20140599270554793,0.0,-0.20140599270554793,0.1111111111111111,-0.061297476040818935
1BQL,0.12121212121212123,-0.07070770835397146,0.060606060606060615,-0.1509705124314526,0.060606060606060615,-0.1509705124314526,0.060606060606060615,-0.1509705124314526,0.060606060606060615,-0.1509705124314526,0.060606060606060615,-0.1509705124314526,0.12121212121212123,-0.07070770835397146
5KVG,0.20895522388059704,0.12339864247977197,0.08955223880597014,-0.009104766399606409,0.14925373134328357,0.057146938040082786,0.08955223880597014,-0.009104766399606409,0.08955223880597014,-0.009104766399606409,0.08955223880597014,-0.009104766399606409,0.11940298507462688,0.024021085820238187
4FFY,0.16216216216216214,-0.06564735651623611,0.05405405405405406,-0.2070416628588985,0.05405405405405406,-0.2070416628588985,0.05405405405405406,-0.2070416628588985,0.05405405405405406,-0.2070416628588985,0.05405405405405406,-0.2070416628588985,0.10810810810810811,-0.1363445096875673
1MLC,0.2325581395348837,0.19752356670810386,0.09302325581395349,0.03278891207354524,0.2325581395348837,0.19752356670810386,0.2325581395348837,0.19752356670810386,0.2325581395348837,0.19752356670810386,0.2325581395348837,0.19752356670810386,0.2325581395348837,0.19752356670810386
1C08,0.0,-0.12342269087068901,0.08163265306122448,-0.030645770182177883,0.0,-0.12342269087068901,0.0,-0.12342269087068901,0.0,-0.12342269087068901,0.12244897959183672,0.015742690162077678,0.04081632653061224,-0.07703423052643345
5LQB,0.04878048780487805,-0.01101825344672042,0.0,-0.07267358656347511,0.0,-0.07267358656347511,0.0,-0.07267358656347511,0.0,-0.07267358656347511,0.14634146341463414,0.11229241278678896,0.0975609756097561,0.050637079670034266
5DUR,0.32432432432432434,0.22450662753346864,0.10810810810810811,-0.04490132550669373,0.48648648648648646,0.4265625923135904,0.43243243243243246,0.3592106040535498,0.43243243243243246,0.3592106040535498,0.32432432432432434,0.22450662753346864,0.2702702702702703,0.15715463927342804
4LU5,0.05405405405405406,0.07688609183497809,0.05405405405405406,0.07688609183497809,0.0,-0.027136267706462856,0.05405405405405406,0.07688609183497809,0.05405405405405406,0.07688609183497809,0.0,-0.027136267706462856,0.05405405405405406,0.07688609183497809
4BZ2,0.6938775510204083,0.6624363686764674,0.0,-0.13289409238545302,0.6122448979591837,0.5688680791397709,0.5306122448979592,0.4752997896030744,0.48979591836734687,0.4285156448347261,0.32653061224489793,0.24137906576133306,0.24489795918367344,0.14781077622463654
4Z5R,0.2608695652173913,0.13813853559321249,0.2173913043478261,0.08674576287251494,0.0,-0.17021810073097274,0.17391304347826086,0.035352990151817414,0.13043478260869565,-0.016039782568880123,0.08695652173913043,-0.06743255528957766,0.08695652173913043,-0.06743255528957766
4DGI,0.21739130434782608,0.18933263864848926,0.08695652173913043,0.03781009475245538,0.0,-0.06320493451156721,0.043478260869565216,-0.012697419879555912,0.043478260869565216,-0.012697419879555912,0.043478260869565216,-0.012697419879555912,0.043478260869565216,-0.012697419879555912
5MVZ,0.3404255319148936,0.18160378119664858,0.3404255319148936,0.18160378119664858,0.6382978723404256,0.551359556854248,0.5106382978723404,0.39289279585813397,0.5531914893617021,0.4457150495235053,0.5106382978723404,0.39289279585813397,0.5106382978723404,0.39289279585813397
5KJR,0.4102564102564102,0.31601924350974814,0.25641025641025644,0.12734328069060574,0.5128205128205129,0.4418032187225097,0.4615384615384615,0.3789112311161289,0.4615384615384615,0.3789112311161289,0.4615384615384615,0.3789112311161289,0.4615384615384615,0.3789112311161289
5C0N,0.23333333333333334,0.1604028710967857,0.0,-0.09594190420742321,0.06666666666666667,-0.0227005398347921,0.0,-0.09594190420742321,0.0,-0.09594190420742321,0.0,-0.09594190420742321,0.03333333333333333,-0.05932122202110766
5F9W,0.045454545454545456,-0.02707920408297047,0.13636363636363638,0.0789492288052801,0.18181818181818182,0.1319634452494054,0.18181818181818182,0.1319634452494054,0.13636363636363638,0.0789492288052801,0.09090909090909091,0.025935012361154818,0.09090909090909091,0.025935012361154818
5L6Y,0.15,-0.016329931618554522,0.2,0.04626813958590448,0.25,0.10886621079036347,0.2,0.04626813958590448,0.2,0.04626813958590448,0.15,-0.016329931618554522,0.15,-0.016329931618554522
4H8W,0.2285714285714286,0.12143973102082634,0.1142857142857143,-0.02454632861059256,0.34285714285714286,0.2674257906522452,0.2285714285714286,0.12143973102082634,0.2285714285714286,0.12143973102082634,0.2285714285714286,0.12143973102082634,0.17142857142857143,0.04844670120511689
2EIZ,0.32432432432432434,0.22089388896085108,0.3783783783783784,0.28858717751336993,0.32432432432432434,0.22089388896085108,0.43243243243243246,0.3562804660658888,0.43243243243243246,0.3562804660658888,0.3783783783783784,0.28858717751336993,0.43243243243243246,0.3562804660658888
4L5F,0.13636363636363635,0.0731966205620412,0.36363636363636365,0.34740067901426985,0.3181818181818182,0.2925598673238241,0.4090909090909091,0.4022414907047156,0.45454545454545453,0.4570823023951613,0.2727272727272727,0.2377190556333784,0.2727272727272727,0.2377190556333784
5C7X,0.3125,0.27929746771443903,0.125,0.026599758829946574,0.0,-0.14186538042638175,0.125,0.026599758829946574,0.0625,-0.05763281079821758,0.0625,-0.05763281079821758,0.0625,-0.05763281079821758
