protein,dockpred,ispred,linearreg,logreg,randomforest,sppider,xgboost
4IJ3,0.5806,0.5161,0.5946,0.6667,0.4737,0.55,0.5714
5FHX,0.5455,0.5,0.5833,0.5833,0.3158,0.381,0.56
2Q8A,0.6061,0.5,0.6,0.6316,0.4762,0.5455,0.619
4Y5Y,0.7895,0.1579,0.3333,0.2778,0.1667,0.2424,0.2162
4LSU,0.2128,0.0755,0.3333,0.3571,0.3214,0.125,0.3571
2W9E,0.6923,0.5,0.5,0.5385,0.5385,0.5385,0.4545
3SE9,0.093,0.5641,0.2083,0.25,0.2174,0.0488,0.2041
1FJ1,0.1081,0.7059,0.2791,0.3256,0.2069,0.1622,0.3243
5KVG,0,0.0667,0,0,0.0606,0,0.0667
4PP1,0,0.1875,0.0606,0.0606,0.1875,0.1053,0.1379
1RJL,0,0.5926,0.48,0.48,0.4615,0,0.4167
5I9Q,0,0.1778,0.2381,0.2326,0.0976,0.2128,0.1277
4U0R,0,0,0.0588,0,0,0.129,0.0625
4UTA,0,0.2667,0.1176,0.1111,0.1176,0.0833,0.125
1A14,0,0.4,0.2439,0.2381,0,0,0.0541
4OKV,0,0.5,0,0,0.1739,0.1333,0.087
5KW9,0,0.1333,0,0,0.1429,0.069,0.0833
4L5F,0,0.087,0,0,0.1538,0,0
5F9O,0,0.1026,0.2632,0.2381,0.3077,0.1463,0.2105
4M48,0,0.0625,0,0,0,0,0
4OGX,0,0.0784,0.3404,0.3265,0.2609,0.1778,0.3182
1JPS,0,0.6111,0.3077,0.3704,0.0513,0.08,0.0606
4K2U,0,0.0714,0,0,0,0,0
3VG9,0,0.125,0.0909,0.0909,0.35,0.0909,0.3182
3JWD,0,0.2857,0.2609,0.3478,0,0.25,0.069
5BV7,0,0.0455,0.04,0.04,0.0816,0.0417,0
3VI3,0,0.3333,0.2222,0.2308,0.1379,0,0.2308
4HF5,0,0,0,0,0.0645,0,0
3SQO,0,0.1429,0.2759,0.1702,0.0625,0.2727,0.1304
5TZT,0,0.5,0.5882,0.5,0.2727,0.1429,0.4444
4LQF,0,0.3529,0.1905,0.1905,0.2222,0.1,0.0952
3RVV,0,0.14,0.25,0.2609,0.093023256,0.2963,0.1667
3HMX,0,0,0,0,0.1429,0.2759,0.2143
3GJF,0,0.0645,0,0,0.2353,0,0.0645
5TZU,0,0.5143,0.5625,0.5625,0.3636,0.3333,0.3333
5TZ2,0,0.37,0.32,0.3077,0.3226,0.3333,0.2222
4HKX,0,0.359,0.2105,0.2105,0.1081,0.1333,0.2162
5K9K,0,0.2759,0.2,0.2,0.125,0.1333,0.1333
1E6J,0,0.8333,0.75,0.75,0.3,0,0.6087
3GI8,0,0.2286,0.0667,0.0667,0,0,0.0556
2VDK,0,0.0526,0.0513,0.0513,0.2069,0.0526,0.2941
5HYS,0,0,0,0,0,0.1429,0
4CMH,0,0.2,0.2,0.2,0.2632,0.1579,0.25
4JR9,0,0,0,0,0,0,0
1NSN,0,0.42,0.2759,0.2963,0.1379,0,0.069
4YK4,0,0,0,0,0,0.08,0
3UC0,0,0.3333,0.0769,0.1667,0.139534884,0,0.1538
3RKD,0,0.0571,0.0667,0.0667,0.133333333,0,0.1176
4AG4,0,0.5517,0.25,0.4138,0.0976,0.0714,0.2308
1EZV,0,0,0,0,0.125,0,0
1NCA,0,0.5455,0.4,0.3913,0.1053,0,0.1579
4PP2,0,0.303,0.1143,0.1111,0.1111,0.3226,0.1818
4LVN,0,0,0,0,0.0667,0.0571,0
4XVS,0,0.4082,0.1333,0.1333,0.2174,0.05,0.0909
3S35,0,0.4516,0.1176,0.1176,0.129,0.0645,0.3333
5KVD,0,0.37,0.2857142857142857,0.2857142857142857,0.204081633,0.37,0.326530612
1BQL,0,0.3478,0.1538,0.1481,0.1739,0,0.1739
3CVH,0,0.15,0,0,0.2051,0,0.1111
2XQY,0,0.0714,0,0,0.069,0,0
3LIZ,0,0.0556,0,0,0.069,0,0
1WEJ,0,0.6154,0.0952,0.1818,0.0741,0,0.087
3B9K,0,0.4,0.2857,0.2857,0.1875,0.2424,0.0526
1AHW,0,0.2941,0.069,0.069,0.125,0.0667,0
4IRZ,0,0,0,0,0.0392,0.0816,0
5B3J,0,0,0,0,0,0.1176,0
4F15,0,0.0588,0,0,0.069,0,0
5E8E,0,0.2069,0.1333,0.1333,0,0,0.08
1MLC,0,0.5517,0.2667,0.3846,0.2,0.0833,0.4516
1SY6,0,0.25,0.2727,0.2857,0.0952,0,0
1UJ3,0,0.4242,0.2222,0.2308,0.2424,0.0769,0.1429
2NYY,0,0.2439,0.1304,0.1778,0.2632,0.0526,0.1667
