protein,dynamic_patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_dynamic_patch,dynamic_patch_tot_TP
5GGT,0.2609,0.32,24,33,6
2FD6,0.0,0,31,39,0
5KVD,0.04,0.04,25,30,1
4RGM,0.4308,0.48,29,48,14
3GJF,0.0308,0.04,34,51,1
1E6J,0.4706,0.48,30,39,12
4IJ3,0.2424,0.33,29,46,8
5E8E,0.0645,0.08,37,50,2
5FB8,0.2041,0.18,25,30,5
5T5F,0.1967,0.14,31,48,6
4YPG,0.338,0.2,26,48,12
4RWY,0.1772,0.22,32,47,7
3CVH,0.0,0,32,53,0
1H0D,0.48,0.39,24,33,12
5F96,0.1558,0.22,32,54,6
5HYS,0.0377,0.05,29,40,1
3RKD,0.0811,0.07,36,54,3
1A14,0.4412,0.43,32,49,15
3I50,0.3333,0.36,34,43,9
1MLC,0.3333,0.37,24,34,8
2DD8,0.0206,0.03,46,78,1
5C7X,0.4,0.34,24,32,11
4OII,0.1379,0.13,26,37,4
4PP1,0.0,0,28,46,0
5KJR,0.2812,0.33,32,47,9
4U0R,0.0667,0.09,32,46,2
5F3H,0.0,0,33,43,0
3SE9,0.1481,0.2,32,54,6
3LD8,0.0357,0,32,43,1
4ETQ,0.2667,0.28,28,38,8
2YPV,0.0909,0.12,31,47,3
3U9P,0.3137,0.37,26,34,8
5MES,0.3478,0.43,25,34,8
4DGI,0.3333,0.29,24,31,7
3KS0,0.0,0,36,41,0
3L5X,0.36,0.35,24,40,9
1ORS,0.04,0.05,27,40,1
1TPX,0.0784,0.09,27,33,2
5F9O,0.1579,0.22,32,54,6
5I9Q,0.2647,0.3,32,46,9
4BZ1,0.2667,0.29,23,33,6
4OGX,0.1791,0.17,29,38,6
5D93,0.0,0,36,53,0
3NFP,0.0328,0.04,30,46,1
1AHW,0.2388,0.25,29,48,8
